measure_name,measure_group,business_definition,dax_expression_reference,source_table,source_fields,population,filter_behavior,format,leakage_status,validation_status,intended_page
Power BI Skill Prevalence,05 — Skills,Percentage of total students possessing Power BI skill,"DIVIDE([Power BI Skill Holders], [Total Students], 0)",Students,power_bi_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
Power BI Skill Placement Rate,05 — Skills,Observed placement rate among students possessing Power BI skill,"DIVIDE(CALCULATE([Placed Students], Students[power_bi_skill] = 1), [Power BI Skill Holders], 0)",Students,"power_bi_skill, placed",Power BI Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Power BI Skill Placement Spread,05 — Skills,Observed placement rate spread between Power BI holders and non-holders (percentage points),"[Power BI Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[power_bi_skill] = 0), CALCULATE([Total Students], Students[power_bi_skill] = 0), 0)",Students,"power_bi_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
DSA Skill Holders,05 — Skills,Count of students possessing DSA skill,"CALCULATE([Total Students], Students[dsa_skill] = 1)",Students,dsa_skill,DSA Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
DSA Skill Prevalence,05 — Skills,Percentage of total students possessing DSA skill,"DIVIDE([DSA Skill Holders], [Total Students], 0)",Students,dsa_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
DSA Skill Placement Rate,05 — Skills,Observed placement rate among students possessing DSA skill,"DIVIDE(CALCULATE([Placed Students], Students[dsa_skill] = 1), [DSA Skill Holders], 0)",Students,"dsa_skill, placed",DSA Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
DSA Skill Placement Spread,05 — Skills,Observed placement rate spread between DSA holders and non-holders (percentage points),"[DSA Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[dsa_skill] = 0), CALCULATE([Total Students], Students[dsa_skill] = 0), 0)",Students,"dsa_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
Cloud Skill Holders,05 — Skills,Count of students possessing Cloud skill,"CALCULATE([Total Students], Students[cloud_skill] = 1)",Students,cloud_skill,Cloud Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
Cloud Skill Prevalence,05 — Skills,Percentage of total students possessing Cloud skill,"DIVIDE([Cloud Skill Holders], [Total Students], 0)",Students,cloud_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
Cloud Skill Placement Rate,05 — Skills,Observed placement rate among students possessing Cloud skill,"DIVIDE(CALCULATE([Placed Students], Students[cloud_skill] = 1), [Cloud Skill Holders], 0)",Students,"cloud_skill, placed",Cloud Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Cloud Skill Placement Spread,05 — Skills,Observed placement rate spread between Cloud holders and non-holders (percentage points),"[Cloud Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[cloud_skill] = 0), CALCULATE([Total Students], Students[cloud_skill] = 0), 0)",Students,"cloud_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
Cybersecurity Skill Holders,05 — Skills,Count of students possessing Cybersecurity skill,"CALCULATE([Total Students], Students[cybersecurity_skill] = 1)",Students,cybersecurity_skill,Cybersecurity Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
Cybersecurity Skill Prevalence,05 — Skills,Percentage of total students possessing Cybersecurity skill,"DIVIDE([Cybersecurity Skill Holders], [Total Students], 0)",Students,cybersecurity_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
Cybersecurity Skill Placement Rate,05 — Skills,Observed placement rate among students possessing Cybersecurity skill,"DIVIDE(CALCULATE([Placed Students], Students[cybersecurity_skill] = 1), [Cybersecurity Skill Holders], 0)",Students,"cybersecurity_skill, placed",Cybersecurity Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Cybersecurity Skill Placement Spread,05 — Skills,Observed placement rate spread between Cybersecurity holders and non-holders (percentage points),"[Cybersecurity Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[cybersecurity_skill] = 0), CALCULATE([Total Students], Students[cybersecurity_skill] = 0), 0)",Students,"cybersecurity_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
Average Package,06 — Compensation,Mean salary package (LPA) for placed students,AVERAGE(Students[package_lpa]),Students,package_lpa,Placed Students Only (N=950),Ignores unplaced NULLs naturally,"0.00 ""LPA""",COMPENSATION OUTCOME (POST-ANALYSIS ONLY),VALIDATED,Command Center / Company Intelligence / Reports
Median Package,06 — Compensation,Median salary package (LPA) for placed students,MEDIAN(Students[package_lpa]),Students,package_lpa,Placed Students Only (N=950),Ignores unplaced NULLs naturally,"0.00 ""LPA""",COMPENSATION OUTCOME (POST-ANALYSIS ONLY),VALIDATED,Command Center / Company Intelligence / Reports
Average PRI,07 — Readiness,Mean Placement Readiness Index composite score,AVERAGE(Students[pri_score]),Students,pri_score,Whole Population,Dynamic under slicers,0.00,READINESS CONSTRUCT (0 LEAKAGE),VALIDATED,Command Center / Student Analytics / Reports
Median PRI,07 — Readiness,Median Placement Readiness Index composite score,MEDIAN(Students[pri_score]),Students,pri_score,Whole Population,Dynamic under slicers,0.00,READINESS CONSTRUCT (0 LEAKAGE),VALIDATED,Command Center / Student Analytics / Reports
High Readiness Count,07 — Readiness,Count of students classified as High Readiness,"CALCULATE([Total Students], Students[readiness_category] = ""High Readiness"")",Students,readiness_category,High Readiness Tier,Dynamic under slicers,"#,##0",READINESS CONSTRUCT (0 LEAKAGE),VALIDATED,Command Center / Student Analytics
Moderate Readiness Count,07 — Readiness,Count of students classified as Moderate Readiness,"CALCULATE([Total Students], Students[readiness_category] = ""Moderate Readiness"")",Students,readiness_category,Moderate Readiness Tier,Dynamic under slicers,"#,##0",READINESS CONSTRUCT (0 LEAKAGE),VALIDATED,Command Center / Student Analytics
Needs Improvement Count,07 — Readiness,Count of students classified as Needs Improvement,"CALCULATE([Total Students], Students[readiness_category] = ""Needs Improvement"")",Students,readiness_category,Needs Improvement Tier,Dynamic under slicers,"#,##0",READINESS CONSTRUCT (0 LEAKAGE),VALIDATED,Command Center / Student Analytics
High Improvement Priority Count,07 — Readiness,Count of students classified as High Improvement Priority,"CALCULATE([Total Students], Students[readiness_category] = ""High Improvement Priority"")",Students,readiness_category,High Improvement Priority Tier,Dynamic under slicers,"#,##0",READINESS CONSTRUCT (0 LEAKAGE),VALIDATED,Command Center / Student Analytics
Comprehensive High Performers Count,08 — Segmentation,Count of students in preparation quadrant Comprehensive High Performers,"CALCULATE([Total Students], Students[preparation_segment] = ""Comprehensive High Performers"")",Students,preparation_segment,Comprehensive High Performers Quadrant,Dynamic under slicers,"#,##0",PREPARATION SEGMENT (0 LEAKAGE),VALIDATED,Student Analytics
Technical Specialists Count,08 — Segmentation,Count of students in preparation quadrant Technical Specialists,"CALCULATE([Total Students], Students[preparation_segment] = ""Technical Specialists"")",Students,preparation_segment,Technical Specialists Quadrant,Dynamic under slicers,"#,##0",PREPARATION SEGMENT (0 LEAKAGE),VALIDATED,Student Analytics
Academic Generalists Count,08 — Segmentation,Count of students in preparation quadrant Academic Generalists,"CALCULATE([Total Students], Students[preparation_segment] = ""Academic Generalists"")",Students,preparation_segment,Academic Generalists Quadrant,Dynamic under slicers,"#,##0",PREPARATION SEGMENT (0 LEAKAGE),VALIDATED,Student Analytics
High Support Priority Count,08 — Segmentation,Count of students in preparation quadrant High Support Priority,"CALCULATE([Total Students], Students[preparation_segment] = ""High Support Priority"")",Students,preparation_segment,High Support Priority Quadrant,Dynamic under slicers,"#,##0",PREPARATION SEGMENT (0 LEAKAGE),VALIDATED,Student Analytics
