student_id,age,gender,branch,cgpa,internships,projects,coding_score,aptitude_score,communication_score,python_skill,sql_skill,excel_skill,power_bi_skill,dsa_skill,cloud_skill,cybersecurity_skill,placed,company_type,package_lpa
S0056,20,Female,EEE,7.28,1,2,81.64,66.02,95.54,1,1,1,0,0,0,0,0,,
S0057,22,Male,CSE,8.41,1,1,92.66,72.98,70.95,1,1,1,0,1,1,0,1,Product,16.41
S0058,23,Female,EEE,7.53,1,2,69.93,75.72,89.81,1,0,1,1,1,0,1,1,Product,13.03
S0059,21,Male,CSE,7.16,1,2,54.87,52.09,75.05,0,1,1,1,0,0,0,0,,
S0060,20,Female,ECE,8.02,0,2,72.1,58.32,72.34,0,1,0,1,1,1,0,1,Other,4.79
S0061,21,Male,IT,7.05,1,3,84.65,84.87,82.34,1,1,1,1,1,0,1,1,Product,10.87
S0062,22,Male,ME,6.81,0,0,41.75,64.07,46.28,0,1,1,0,0,1,0,0,,
S0063,21,Female,IT,9.85,1,2,87.1,74.61,85.3,1,1,1,1,1,0,0,1,Product,18.51
S0064,23,Female,CE,8.32,2,0,85.56,80.54,87.99,0,1,1,1,0,0,0,1,Service,5.83
S0065,21,Female,CSE,6.58,2,1,64.27,73.65,71.84,1,1,1,0,1,0,0,0,,
S0066,22,Female,IT,8.5,1,3,83.64,56.99,70.13,1,0,1,0,1,0,0,0,,
S0067,21,Male,IT,8.02,2,1,59.83,91.34,96.0,1,1,1,0,1,1,0,1,Product,13.46
S0068,22,Female,EEE,4.17,1,1,56.01,54.89,87.56,1,0,1,0,1,1,1,1,Service,6.23
S0069,20,Male,CSE,8.01,1,1,61.63,84.37,96.0,1,0,1,0,0,1,1,1,Service,6.07
S0070,21,Male,IT,6.16,0,2,79.88,69.61,93.21,1,1,1,1,1,0,1,0,,
S0071,20,Male,ME,9.41,0,2,79.04,97.0,96.0,1,1,0,0,0,1,0,1,Product,15.28
S0072,21,Male,ECE,7.67,1,3,89.37,54.82,68.43,1,1,1,0,1,0,1,1,Service,6.05
S0073,20,Male,IT,9.01,0,2,98.5,91.16,73.88,1,1,1,1,1,1,0,1,Product,19.63
S0074,22,Male,CSE,8.13,0,4,89.4,67.36,78.27,1,1,1,1,1,0,0,1,Service,6.82
S0075,22,Female,ECE,6.23,1,3,70.14,55.84,96.0,1,1,1,0,0,0,0,1,Product,20.83
S0076,21,Male,CSE,5.93,1,1,59.26,61.41,96.0,1,1,1,1,1,1,0,1,Service,6.09
S0077,22,Male,CSE,9.09,0,2,83.02,97.0,72.38,1,1,1,0,1,1,0,1,Startup,10.53
S0078,20,Female,ECE,6.65,1,0,57.95,61.41,89.79,1,0,1,0,1,0,0,1,Service,6.21
S0079,22,Female,ME,7.38,1,1,57.56,72.79,96.0,1,1,1,0,1,0,1,0,,
S0080,21,Male,ECE,8.16,1,2,75.64,72.4,84.11,0,0,1,1,1,0,1,0,,
S0081,19,Female,IT,7.86,0,2,86.73,74.64,85.31,1,1,0,1,1,1,0,0,,
S0082,22,Female,CSE,7.96,0,2,84.19,64.92,82.33,1,1,1,0,0,0,0,0,,
S0083,21,Female,CE,5.86,0,2,68.45,64.89,53.56,1,1,1,0,1,0,0,1,Service,5.48
S0084,23,Female,CE,6.68,0,1,59.45,71.73,71.23,1,1,0,0,0,0,0,0,,
S0085,22,Male,IT,5.8,0,2,66.85,69.96,89.33,1,1,1,1,1,1,0,1,Service,4.65
S0086,20,Male,ECE,7.27,1,3,72.94,61.08,74.7,0,1,1,1,1,0,0,0,,
S0087,20,Male,ME,8.44,0,1,70.6,87.33,96.0,0,1,1,1,1,0,0,1,Service,6.4
S0088,20,Female,CSE,5.82,0,3,62.97,52.58,86.24,1,1,1,0,1,1,1,1,Service,6.84
S0089,21,Male,ECE,6.28,1,2,58.82,76.61,80.22,1,0,1,0,1,0,0,1,Service,4.19
S0090,19,Male,IT,7.06,2,2,72.0,79.77,72.43,0,0,0,0,1,0,0,1,Product,18.59
S0091,21,Male,EEE,6.58,0,2,71.55,75.86,96.0,1,1,1,0,0,0,0,1,Service,5.63
S0092,20,Male,EEE,7.59,1,2,57.15,67.29,65.84,0,1,1,0,1,0,0,1,Service,6.4
S0093,22,Prefer not to say,CSE,6.89,0,2,79.9,73.18,56.55,1,1,1,0,1,0,1,1,Service,5.37
S0094,21,Male,IT,9.35,1,2,98.5,74.88,95.61,1,1,1,1,1,0,0,1,Product,24.36
S0095,20,Female,ECE,5.25,0,2,62.52,67.59,96.0,0,1,1,0,1,0,0,1,Service,5.68
S0096,19,Female,ECE,8.44,2,1,69.53,75.09,96.0,1,1,1,0,1,0,0,1,Product,17.13
S0097,21,Female,CSE,7.43,0,1,64.16,63.05,77.97,1,0,1,0,1,0,1,1,Startup,11.42
S0098,20,Male,IT,8.11,0,2,76.68,76.29,89.39,0,1,1,1,1,0,0,0,,
S0099,22,Male,CSE,7.39,0,1,76.23,67.26,73.5,1,0,1,0,1,0,0,1,Service,5.65
S0100,20,Female,IT,4.09,3,3,60.42,77.56,96.0,1,1,1,0,1,1,0,1,Startup,14.58
S0101,20,Male,EEE,7.66,2,3,72.45,70.09,59.61,0,0,1,1,1,0,0,0,,
S0102,21,Male,CSE,8.74,3,1,73.15,58.56,85.92,1,1,1,0,1,0,0,1,Product,12.27
S0103,21,Prefer not to say,CSE,7.83,0,1,65.18,78.81,96.0,1,0,1,0,0,0,0,0,,
S0104,20,Male,ME,7.77,0,1,68.79,70.91,96.0,0,1,1,1,0,0,0,0,,
S0105,21,Male,ME,5.15,1,2,73.14,60.5,63.73,1,0,1,1,1,0,0,0,,
S0106,22,Female,IT,8.97,2,2,83.74,81.34,88.67,1,1,1,1,0,1,0,1,Service,5.39
S0107,20,Female,CSE,8.43,2,3,71.27,85.11,91.99,1,1,0,0,1,1,0,1,Product,14.67
S0108,20,Male,CSE,7.2,2,1,67.55,79.26,83.54,0,1,0,0,1,0,0,0,,
S0109,21,Male,IT,6.59,0,1,68.96,64.62,91.08,1,1,1,1,0,0,0,0,,
S0110,21,Male,IT,7.11,0,2,67.66,70.95,85.53,1,1,0,0,0,0,0,1,Service,5.33
S0111,19,Male,ECE,8.27,0,2,76.52,89.79,96.0,1,1,1,1,1,0,0,1,Product,17.88
S0112,21,Female,CE,7.1,1,0,57.66,62.88,60.96,1,1,1,1,1,1,0,1,Service,6.9
S0113,20,Male,IT,5.24,2,2,67.73,63.55,67.33,1,1,1,0,1,0,0,1,Service,4.96
S0114,22,Male,CSE,7.1,1,1,66.62,72.11,96.0,1,1,1,1,1,0,0,1,Startup,11.7
S0115,21,Male,ECE,8.59,0,2,58.32,80.22,93.51,0,0,1,0,1,0,1,1,Product,13.69
S0116,19,Male,ECE,8.11,1,3,70.53,95.08,65.45,1,0,1,0,0,0,0,1,Product,21.82
S0117,19,Male,IT,6.21,0,2,85.77,55.44,73.29,1,1,1,1,1,0,0,1,Service,7.2
S0118,21,Male,EEE,7.61,0,2,71.3,67.82,79.99,1,1,1,1,1,0,0,1,Startup,13.43
S0119,21,Male,ECE,5.61,0,2,47.38,65.07,61.89,1,0,0,0,1,1,1,1,Other,4.63
S0120,19,Male,ECE,8.12,0,2,71.49,97.0,86.27,1,1,1,1,1,0,0,1,Startup,12.16
S0121,23,Male,CSE,7.64,0,3,76.96,80.04,76.29,0,1,1,0,1,0,0,1,Service,5.27
S0122,19,Male,IT,9.85,2,6,98.5,80.54,90.58,0,1,1,0,1,0,0,1,Service,7.06
S0123,21,Female,CSE,9.45,1,2,83.11,77.74,73.72,1,1,1,1,0,1,0,1,Product,18.02
S0124,22,Male,CSE,7.87,0,3,88.89,87.36,89.99,1,1,1,1,1,0,1,1,Product,10.42
S0125,21,Female,IT,8.9,1,0,76.08,77.72,73.42,1,1,1,0,0,0,0,1,Other,3.5
S0126,19,Male,CSE,8.62,0,4,58.59,80.12,96.0,1,1,1,0,0,0,0,1,Product,14.41
S0127,19,Female,CSE,7.67,0,3,71.54,66.46,81.72,1,1,1,0,1,1,0,1,Product,14.0
S0128,22,Male,EEE,6.57,0,4,77.47,66.71,83.57,1,1,1,0,1,1,0,0,,
S0129,21,Female,EEE,7.52,0,3,69.96,74.14,86.99,1,1,1,1,1,0,1,0,,
S0130,22,Male,EEE,6.95,0,2,78.67,68.92,89.81,1,1,1,0,0,0,0,1,Product,16.33
S0131,21,Female,ME,6.7,0,2,65.52,76.65,81.37,1,1,1,1,1,0,0,1,Service,3.67
S0132,22,Male,CSE,7.25,1,1,79.28,79.15,87.01,1,1,1,0,1,1,1,1,Service,4.83
S0133,19,Female,CE,8.39,3,3,64.74,84.32,92.06,1,1,1,1,1,1,0,1,Startup,16.72
S0134,21,Non-binary,CSE,7.55,0,2,70.35,66.17,86.07,1,1,1,0,1,1,0,1,Service,5.8
S0135,22,Male,ECE,7.66,0,1,74.17,61.32,79.31,0,1,1,1,0,1,0,0,,
S0136,23,Male,ECE,5.73,0,3,63.62,58.93,86.83,0,1,0,0,0,0,0,0,,
S0137,19,Female,IT,7.48,0,3,80.57,72.69,89.23,0,0,1,0,1,1,0,0,,
S0138,22,Male,IT,6.96,0,2,74.31,56.05,88.9,1,0,1,1,1,1,0,1,Service,6.2
S0139,20,Male,ECE,5.54,2,4,50.26,73.78,68.73,1,1,1,1,1,0,1,1,Startup,9.61
S0140,22,Non-binary,IT,5.61,1,2,88.08,54.19,91.83,1,0,0,0,1,0,0,0,,
S0141,21,Female,EEE,8.28,0,0,63.05,47.75,85.21,0,0,1,0,0,0,0,1,Service,7.1
S0142,22,Female,ECE,4.49,3,1,42.83,45.51,86.25,0,0,1,1,1,0,0,1,Service,6.71
S0143,19,Male,IT,7.39,1,1,64.67,76.55,96.0,0,1,1,0,1,0,0,1,Other,4.05
S0144,22,Male,CSE,8.28,1,4,98.13,86.57,76.5,1,1,1,1,0,0,0,1,Service,5.17
S0145,21,Male,CSE,6.52,0,3,90.28,66.94,86.15,1,1,1,1,0,1,0,1,Product,17.94
S0146,20,Male,ECE,6.99,0,1,71.89,65.64,95.32,1,1,1,0,0,1,0,1,Service,5.0
S0147,20,Female,CSE,5.63,1,2,79.46,57.26,54.54,1,1,1,1,0,0,0,0,,
S0148,22,Male,CSE,6.98,0,2,69.13,55.29,81.55,0,1,1,0,1,0,0,1,Service,5.31
S0149,20,Male,CSE,6.2,3,2,70.07,68.04,82.06,1,1,1,1,0,1,0,0,,
S0150,19,Female,ECE,8.32,1,3,83.45,80.35,87.95,1,1,1,1,1,1,0,0,,
S0151,22,Female,CSE,6.93,1,5,76.04,68.1,84.83,1,1,1,0,1,0,0,1,Product,16.94
S0152,22,Female,CSE,6.44,0,1,61.57,66.46,69.64,1,1,1,1,0,0,0,0,,
S0153,21,Male,ECE,7.47,0,2,87.73,74.04,91.94,1,1,1,0,0,0,0,0,,
S0154,22,Male,IT,9.49,2,0,71.04,76.4,96.0,1,1,1,1,1,0,0,1,Service,6.06
S0155,21,Female,CSE,6.99,0,2,75.81,71.76,70.76,1,1,1,1,1,1,0,0,,
S0156,20,Male,CSE,8.41,3,1,78.2,52.64,79.4,1,1,1,0,1,0,0,0,,
S0157,23,Female,CE,6.06,1,1,50.4,73.48,80.66,1,1,1,1,0,1,0,1,Service,7.9
S0158,21,Female,ECE,7.14,0,1,59.7,71.94,86.94,1,1,1,1,0,0,0,0,,
S0159,21,Male,IT,6.18,1,1,68.17,56.05,73.56,1,1,1,0,1,0,0,0,,
S0160,20,Male,EEE,6.09,0,3,76.29,79.14,80.98,0,0,1,1,0,0,0,1,Startup,11.47
S0161,21,Female,ME,7.36,2,2,75.08,72.29,83.72,1,1,1,1,0,0,0,1,Service,5.8
S0162,20,Male,CE,8.29,1,0,80.05,83.62,66.51,1,1,1,0,1,1,0,1,Service,6.53
S0163,21,Male,CSE,6.35,1,1,69.58,65.45,84.51,1,1,1,0,1,0,1,1,Product,12.09
S0164,20,Female,CE,6.47,0,4,66.24,52.25,80.14,1,1,1,0,0,0,0,0,,
S0165,22,Male,IT,6.01,0,2,61.09,70.15,59.88,1,1,1,0,0,1,1,0,,
S0166,23,Female,ECE,6.93,1,0,66.1,56.06,96.0,0,0,1,0,0,0,0,1,Service,4.5
S0167,22,Male,CSE,7.97,5,1,74.39,69.31,96.0,1,1,1,1,1,0,0,0,,
S0168,22,Male,CSE,9.52,2,2,87.29,82.86,79.36,1,1,1,1,0,0,0,1,Product,21.51
S0169,22,Male,CSE,6.65,1,2,74.16,56.6,96.0,0,1,1,0,1,0,0,1,Product,11.81
S0170,23,Male,ECE,6.72,0,0,65.47,83.24,91.93,0,0,1,0,1,0,0,1,Startup,17.16
S0171,23,Female,CSE,6.41,1,4,77.35,70.7,90.8,1,0,0,1,1,1,0,0,,
S0172,22,Male,ECE,6.73,3,3,68.82,66.39,69.64,1,1,1,1,1,1,1,0,,
S0173,20,Female,CSE,6.18,0,1,59.7,80.96,63.33,1,1,1,1,1,0,1,1,Product,11.6
S0174,21,Male,EEE,7.63,1,1,53.57,81.74,69.59,1,1,1,1,1,0,0,1,Product,16.4
S0175,21,Female,CSE,8.65,4,4,90.29,65.22,75.98,1,1,1,1,1,1,0,1,Startup,10.12
S0176,23,Male,IT,9.09,1,1,59.44,89.95,71.14,1,1,1,1,1,0,0,0,,
S0177,21,Female,IT,7.79,0,3,74.38,71.41,96.0,1,1,1,1,1,0,1,1,Product,17.69
S0178,22,Male,IT,7.14,0,0,56.29,79.82,80.33,1,1,1,1,0,0,0,0,,
S0179,22,Male,ECE,6.72,2,1,77.62,70.15,50.25,1,0,1,0,1,1,0,1,Service,5.65
S0180,19,Female,CSE,6.97,1,1,55.69,78.11,74.63,0,1,1,1,0,1,0,0,,
S0181,21,Female,ME,8.04,0,3,92.02,76.72,72.22,1,0,1,0,1,0,0,1,Other,5.6
S0182,22,Female,ECE,8.26,4,1,85.4,69.66,79.18,1,1,1,0,0,1,0,0,,
S0183,21,Male,IT,5.49,1,2,67.8,71.52,89.66,1,0,1,0,1,1,1,1,Startup,17.21
S0184,22,Female,CSE,6.08,0,1,58.5,44.67,82.33,1,1,1,1,1,1,1,1,Startup,14.88
S0185,20,Male,EEE,9.4,2,2,87.4,87.13,91.19,1,1,1,1,0,1,1,1,Service,6.92
S0186,21,Female,IT,5.93,2,3,72.53,69.61,72.86,1,1,1,1,1,1,0,1,Startup,7.39
S0187,21,Female,ME,6.66,0,0,70.35,51.59,40.34,0,1,1,0,0,0,0,1,Other,4.98
S0188,21,Female,IT,9.45,1,2,90.06,71.44,85.0,1,1,1,1,1,0,0,1,Product,9.9
S0189,22,Male,IT,7.77,0,1,86.44,70.68,70.68,1,1,1,1,1,1,1,0,,
S0190,21,Male,ECE,7.32,1,4,61.18,75.49,77.4,0,0,1,0,1,0,0,0,,
S0191,23,Male,ECE,7.56,1,3,72.03,51.16,65.7,0,1,0,0,1,0,0,1,Service,5.93
S0192,23,Female,ECE,6.54,1,3,68.63,74.08,69.91,0,1,1,0,0,1,0,1,Product,12.45
S0193,20,Male,ME,6.02,0,2,61.26,69.38,82.55,1,1,1,1,0,0,0,0,,
S0194,20,Male,ECE,6.65,0,2,65.86,64.3,78.83,1,1,1,1,1,0,0,1,Product,16.82
S0195,22,Female,IT,7.01,1,0,79.65,67.09,72.24,1,1,0,1,1,1,0,1,Service,3.29
S0196,21,Female,ECE,8.04,0,2,49.48,81.89,92.06,1,1,1,1,1,0,1,0,,
S0197,21,Female,ECE,5.85,2,4,78.09,53.23,68.24,1,1,1,0,0,0,0,1,Service,5.04
S0198,22,Male,CE,9.31,0,2,65.75,97.0,58.26,1,0,1,0,0,0,0,0,,
S0199,22,Female,ECE,6.5,2,1,71.75,72.46,96.0,1,1,1,1,1,1,0,1,Service,7.03
S0200,22,Female,ME,8.48,0,3,81.91,74.25,53.11,0,1,1,1,1,0,1,0,,
S0201,23,Female,IT,8.41,3,0,61.3,79.08,95.75,1,1,1,1,1,1,0,0,,
S0202,21,Female,IT,9.39,2,3,91.2,94.95,96.0,0,1,1,1,1,0,0,1,Product,16.34
S0203,22,Female,IT,9.44,0,0,70.88,85.36,96.0,1,1,1,0,1,1,1,1,Other,5.93
S0204,24,Female,EEE,4.93,1,2,67.95,56.02,74.43,1,1,1,0,1,0,0,1,Service,6.4
S0205,22,Female,CSE,8.56,0,2,83.69,66.52,96.0,1,0,1,0,1,1,1,1,Product,14.4
S0206,21,Female,ME,9.85,1,0,67.9,97.0,96.0,1,1,1,1,1,0,0,0,,
S0207,19,Male,ECE,9.05,0,2,83.47,65.23,81.49,1,1,1,0,1,0,1,1,Service,7.22
S0208,21,Male,CSE,9.05,2,1,82.41,69.48,82.34,1,1,1,1,1,0,0,1,Product,10.31
S0209,20,Male,IT,9.49,0,3,81.41,84.35,91.39,0,1,1,0,1,0,0,1,Startup,9.68
S0210,23,Male,ECE,8.61,1,1,74.09,93.35,84.65,0,1,1,1,1,0,0,1,Startup,15.28
S0211,21,Female,ECE,9.8,2,3,80.56,86.15,83.32,1,0,0,1,0,1,0,1,Startup,13.29
S0212,20,Female,ME,8.23,0,2,68.53,74.53,94.12,1,1,1,1,0,0,0,1,Product,16.96
S0213,22,Male,CSE,5.63,3,2,85.8,48.37,85.52,1,1,1,1,1,0,0,1,Service,4.6
S0214,20,Female,ECE,6.7,0,2,37.86,91.08,95.29,1,1,1,1,0,0,0,0,,
S0215,21,Male,ECE,5.83,0,4,65.36,73.18,55.82,1,0,1,0,1,0,0,1,Service,6.7
S0216,23,Male,ECE,4.4,0,1,50.07,58.21,81.68,0,1,1,1,1,0,0,0,,
S0217,23,Male,ME,7.1,0,3,68.88,71.0,81.37,1,1,1,0,1,0,0,0,,
S0218,23,Male,CSE,7.67,0,2,80.34,70.6,66.53,1,1,1,0,1,0,0,0,,
S0219,20,Male,IT,5.29,1,2,56.29,60.31,60.59,1,1,1,0,1,1,0,0,,
S0220,21,Male,CSE,8.02,1,2,87.37,70.72,73.46,1,1,1,1,1,0,0,1,Service,6.21
S0221,22,Male,CSE,9.63,1,4,95.63,94.97,87.59,1,1,1,0,1,1,0,1,Product,18.7
S0222,19,Male,ME,9.41,0,0,60.12,82.83,66.01,1,1,1,0,1,0,0,0,,
S0223,22,Male,CSE,7.83,5,3,83.72,81.29,76.65,1,1,0,1,1,1,0,1,Service,6.07
S0224,20,Non-binary,IT,6.84,1,4,90.82,61.49,90.9,0,1,1,0,1,0,1,1,Startup,16.28
S0225,22,Female,CSE,5.6,0,3,65.37,60.4,88.82,1,0,0,1,0,1,0,1,Service,4.96
S0226,22,Male,ECE,6.65,0,3,74.51,74.31,86.2,0,1,1,1,0,0,0,1,Startup,15.26
S0227,20,Male,ECE,8.2,0,3,73.14,85.3,96.0,1,0,1,1,0,0,0,0,,
S0228,21,Male,ECE,7.96,1,2,64.31,88.83,79.82,0,0,1,0,0,0,0,1,Startup,12.88
S0229,22,Female,IT,8.9,0,4,98.5,71.47,69.03,1,1,0,1,1,1,0,1,Service,6.12
S0230,21,Male,ECE,5.59,0,3,83.11,68.56,71.6,1,1,1,1,0,0,0,1,Service,5.51
S0231,21,Female,CSE,5.82,0,4,80.98,71.58,80.82,0,1,1,1,1,0,0,0,,
S0232,21,Male,IT,6.8,0,2,74.63,91.46,84.08,1,0,1,1,1,0,0,1,Service,6.46
S0233,20,Female,CE,6.13,0,0,49.69,68.24,60.63,1,1,1,0,0,0,0,1,Service,5.43
S0234,22,Female,ECE,6.69,1,1,68.46,63.3,68.77,0,1,0,1,0,1,0,0,,
S0235,20,Female,EEE,6.32,0,2,53.27,68.35,66.98,1,1,1,0,0,1,0,1,Service,5.31
S0236,21,Female,ECE,6.88,0,2,66.72,65.0,84.09,0,1,1,1,0,0,0,0,,
S0237,22,Female,IT,5.93,1,2,58.61,67.92,63.71,0,1,1,1,1,0,0,1,Startup,13.35
S0238,21,Male,ME,5.72,0,1,55.96,72.41,63.04,1,1,1,1,1,1,0,1,Startup,10.81
S0239,21,Female,IT,7.82,0,5,86.56,81.39,70.43,1,0,1,0,1,1,0,0,,
S0240,19,Female,ECE,8.35,0,1,73.51,59.89,79.78,0,0,1,1,0,0,0,1,Startup,10.9
S0241,20,Male,IT,8.47,2,2,95.05,85.17,88.72,1,1,1,0,1,0,0,1,Product,17.61
S0242,23,Female,IT,8.41,1,1,68.9,76.09,90.29,1,0,1,0,1,0,1,0,,
S0243,20,Male,ECE,7.82,1,3,68.48,53.64,93.83,1,1,0,1,1,0,0,0,,
S0244,18,Female,IT,7.89,0,2,82.79,80.12,70.16,1,1,1,1,1,1,0,1,Product,19.91
S0245,21,Female,IT,8.15,0,3,79.5,68.0,96.0,1,1,1,0,0,0,0,1,Service,7.13
S0246,23,Male,EEE,9.85,0,2,70.09,90.33,77.1,1,1,1,0,1,1,0,0,,
S0247,21,Male,IT,8.6,0,2,73.11,84.57,79.65,1,1,1,1,1,0,0,0,,
S0248,22,Male,ECE,6.76,0,2,73.75,57.97,82.92,1,1,0,1,1,0,0,1,Service,4.43
S0249,23,Female,CSE,9.33,0,1,73.67,78.79,96.0,1,1,1,1,1,1,0,0,,
S0250,21,Male,CSE,6.54,1,2,64.73,54.17,82.51,1,1,1,0,1,0,1,1,Other,3.98
S0251,21,Male,ECE,6.75,2,2,81.64,71.5,91.45,1,1,1,0,0,0,0,1,Product,13.14
S0252,21,Male,IT,7.03,0,6,84.75,66.79,89.42,1,1,1,1,1,0,0,1,Startup,15.47
S0253,21,Female,CE,7.48,0,4,81.83,62.38,64.16,1,1,0,1,0,0,1,1,Product,12.91
S0254,22,Male,IT,6.76,2,1,81.38,60.25,96.0,1,1,1,1,1,0,1,1,Service,6.71
S0255,21,Female,ECE,9.15,0,3,91.68,82.25,47.04,1,1,1,1,1,0,0,1,Startup,12.26
