student_id,python_skill,sql_skill,excel_skill,power_bi_skill,dsa_skill,cloud_skill,cybersecurity_skill,technical_skill_count
S0286,1,1,0,0,1,0,0,3
S0287,1,1,1,0,1,1,0,5
S0288,1,1,0,1,1,1,0,5
S0289,1,1,1,0,1,1,0,5
S0290,1,1,0,0,1,0,0,3
S0291,1,1,0,1,1,1,0,5
S0292,1,1,1,0,1,0,0,4
S0293,1,1,1,1,1,0,0,5
S0294,1,1,1,0,1,0,0,4
S0295,0,1,1,1,1,1,0,5
S0296,1,1,1,1,0,1,0,5
S0297,1,0,1,0,1,0,0,3
S0298,1,1,0,0,0,0,0,2
S0299,1,0,0,1,1,0,0,3
S0300,1,1,0,1,1,1,0,5
S0301,1,1,1,0,0,0,0,3
S0302,0,1,1,1,1,0,1,5
S0303,1,1,1,0,1,0,0,4
S0304,0,0,1,0,1,0,0,2
S0305,1,0,1,0,1,0,0,3
S0306,0,1,0,0,0,0,0,1
S0307,0,1,1,0,1,0,0,3
S0308,1,1,1,1,1,1,1,7
S0309,1,1,1,0,1,1,0,5
S0310,1,0,1,1,1,1,0,5
S0311,0,0,1,0,1,1,0,3
S0312,1,0,1,0,1,0,0,3
S0313,1,0,1,1,1,0,1,5
S0314,1,1,1,1,0,1,0,5
S0315,1,0,1,0,1,0,1,4
S0316,1,1,1,1,1,1,1,7
S0317,1,0,1,1,1,1,1,6
S0318,1,0,1,0,1,1,0,4
S0319,1,1,1,0,0,1,0,4
S0320,0,0,1,1,1,0,1,4
S0321,1,0,0,0,1,0,0,2
S0322,0,1,1,1,1,0,0,4
S0323,1,1,1,1,1,0,0,5
S0324,1,1,0,0,1,0,0,3
S0325,1,1,1,1,1,1,0,6
S0326,1,1,1,0,1,0,0,4
S0327,1,1,1,1,1,0,0,5
S0328,1,1,1,1,0,1,0,5
S0329,0,1,0,0,1,0,0,2
S0330,1,1,1,0,0,0,0,3
S0331,1,1,0,0,0,0,0,2
S0332,1,1,1,1,1,0,0,5
S0333,0,0,1,0,1,0,0,2
S0334,1,1,0,0,1,1,1,5
S0335,0,1,1,0,0,1,0,3
S0336,0,1,1,1,1,0,0,4
S0337,1,1,1,1,1,1,0,6
S0338,1,1,0,1,1,0,0,4
S0339,1,0,1,1,0,0,0,3
S0340,1,0,1,0,1,0,0,3
S0341,1,1,1,1,0,0,0,4
S0342,0,1,1,1,1,0,0,4
S0343,1,1,1,0,0,0,0,3
S0344,0,1,1,1,1,0,0,4
S0345,1,1,1,1,0,0,0,4
S0346,1,1,1,1,0,0,0,4
S0347,1,1,0,1,1,0,0,4
S0348,0,1,1,0,1,0,1,4
S0349,1,1,0,1,1,1,0,5
S0350,1,1,1,0,1,0,1,5
S0351,0,1,1,1,1,0,0,4
S0352,1,1,0,0,0,0,0,2
S0353,1,1,1,0,0,0,0,3
S0354,1,1,0,0,1,0,0,3
S0355,1,1,1,1,1,1,1,7
S0356,1,1,1,1,1,0,0,5
S0357,1,1,1,0,1,0,0,4
S0358,0,1,1,1,0,1,0,4
S0359,1,1,1,1,1,0,0,5
S0360,0,1,1,1,0,0,0,3
S0361,1,1,0,0,0,1,1,4
S0362,1,1,1,1,1,1,1,7
S0363,1,1,1,0,1,0,0,4
S0364,1,1,1,0,1,1,0,5
S0365,1,1,1,0,1,1,0,5
S0366,1,1,1,1,1,1,0,6
S0367,1,0,1,1,0,1,0,4
S0368,1,1,1,1,1,0,0,5
S0369,1,0,1,0,1,0,0,3
S0370,1,1,1,1,1,0,0,5
S0371,1,1,1,1,1,0,0,5
S0372,1,1,0,1,1,1,0,5
S0373,1,1,1,0,0,0,0,3
S0374,1,1,1,0,1,1,0,5
S0375,1,1,1,1,1,0,0,5
S0376,0,1,1,0,1,0,0,3
S0377,0,1,0,1,1,0,0,3
S0378,1,1,1,1,0,1,0,5
S0379,1,1,1,0,1,0,0,4
S0380,1,1,1,1,1,0,0,5
S0381,1,1,1,1,1,0,0,5
S0382,1,1,1,0,0,0,0,3
S0383,0,1,1,0,1,0,0,3
S0384,1,1,1,1,1,1,1,7
S0385,1,1,1,0,1,0,0,4
S0386,1,1,1,0,1,0,1,5
S0387,1,1,1,0,1,0,0,4
S0388,1,1,1,0,0,1,0,4
S0389,1,1,0,1,1,0,0,4
S0390,0,1,1,0,1,0,0,3
S0391,1,1,0,1,0,0,1,4
S0392,1,1,1,0,1,0,0,4
S0393,1,1,0,1,0,0,0,3
S0394,1,1,1,1,1,1,0,6
S0395,1,1,1,1,1,1,0,6
S0396,1,0,1,1,1,0,1,5
S0397,1,1,1,1,0,0,0,4
S0398,1,1,1,1,0,1,0,5
S0399,0,0,1,0,1,0,0,2
S0400,1,1,1,1,1,1,0,6
S0401,1,1,1,1,1,0,0,5
S0402,1,1,1,1,1,0,0,5
S0403,0,1,1,1,1,0,0,4
S0404,0,0,0,1,1,0,0,2
S0405,1,1,1,1,0,0,0,4
S0406,1,1,1,0,1,0,1,5
S0407,1,1,1,0,1,0,0,4
S0408,1,1,0,0,1,1,0,4
S0409,1,1,1,1,0,0,1,5
S0410,1,1,0,1,1,0,0,4
S0411,1,1,1,1,1,1,0,6
S0412,1,1,1,1,1,1,0,6
S0413,1,1,1,0,1,0,0,4
S0414,0,1,1,1,1,1,0,5
S0415,0,1,1,1,1,0,1,5
S0416,1,1,0,1,1,0,0,4
S0417,1,1,1,0,0,1,0,4
S0418,1,1,1,0,1,1,1,6
S0419,1,0,1,0,1,0,0,3
S0420,1,1,1,1,1,0,1,6
S0421,1,1,1,1,1,0,0,5
S0422,1,0,1,0,0,1,1,4
S0423,1,1,1,0,1,1,0,5
S0424,1,1,1,1,0,0,1,5
S0425,1,1,1,1,1,1,0,6
S0426,0,1,1,0,0,0,0,2
S0427,1,1,1,1,1,1,0,6
S0428,1,1,1,1,1,1,0,6
S0429,1,1,1,1,1,0,0,5
S0430,1,1,1,0,0,1,1,5
S0431,0,0,1,0,1,1,0,3
S0432,1,1,1,1,1,0,0,5
S0433,1,1,1,1,1,0,0,5
S0434,1,1,1,1,1,1,0,6
S0435,0,1,0,0,0,0,0,1
S0436,1,0,1,0,1,1,0,4
S0437,0,1,1,1,0,0,0,3
S0438,1,1,1,1,0,0,0,4
S0439,1,1,1,1,1,0,0,5
S0440,0,0,1,1,1,0,0,3
S0441,1,1,1,1,1,1,1,7
S0442,1,0,1,1,1,1,0,5
S0443,1,1,0,0,0,0,1,3
S0444,1,1,0,0,1,0,0,3
S0445,1,1,0,1,0,0,1,4
S0446,1,1,1,1,1,0,0,5
S0447,1,1,0,1,0,0,0,3
S0448,1,1,1,1,1,1,0,6
S0449,1,1,1,0,1,1,0,5
S0450,1,1,1,0,0,0,1,4
S0451,0,1,0,0,1,0,1,3
S0452,0,1,1,1,1,0,0,4
S0453,1,1,1,1,0,1,0,5
S0454,1,1,1,1,0,0,0,4
S0455,0,1,1,1,0,0,0,3
S0456,1,0,1,0,1,0,0,3
S0457,1,0,1,0,1,0,0,3
S0458,1,1,1,1,0,1,1,6
S0459,1,1,1,0,1,1,0,5
S0460,1,1,1,1,1,0,0,5
S0461,1,1,1,1,0,0,0,4
S0462,1,1,1,1,1,0,1,6
S0463,0,0,1,0,1,0,0,2
S0464,1,1,1,0,0,0,1,4
S0465,1,1,1,1,0,0,0,4
S0466,1,1,0,0,1,0,0,3
S0467,1,1,1,1,1,1,1,7
S0468,1,1,1,0,1,1,0,5
S0469,1,0,0,1,1,0,0,3
S0470,1,0,1,1,1,0,0,4
S0471,1,1,1,1,1,1,0,6
S0472,1,1,1,1,1,0,0,5
S0473,1,1,1,0,1,1,0,5
S0474,1,1,1,1,0,0,0,4
S0475,0,1,0,0,1,0,0,2
S0476,1,1,1,0,0,0,0,3
S0477,1,1,1,1,1,0,0,5
S0478,1,0,0,0,1,0,0,2
S0479,1,1,1,1,0,0,0,4
S0480,1,1,0,0,1,1,0,4
S0481,1,1,1,0,1,0,1,5
S0482,0,0,1,0,1,0,0,2
S0483,0,0,1,1,1,1,0,4
S0484,1,1,1,1,0,1,0,5
S0485,1,1,1,1,1,0,0,5
S0486,1,1,1,1,1,0,0,5
S0487,1,1,1,1,1,1,0,6
S0488,1,1,1,1,1,0,0,5
S0489,1,1,1,1,1,0,1,6
S0490,1,0,1,0,1,0,1,4
S0491,1,0,0,0,1,1,0,3
S0492,1,1,1,0,1,1,0,5
S0493,0,1,1,1,1,0,0,4
S0494,0,1,1,0,1,1,0,4
S0495,1,1,1,1,0,1,0,5
S0496,1,1,1,1,1,1,0,6
S0497,1,1,1,1,1,1,0,6
S0498,1,1,1,1,1,1,1,7
S0499,0,0,1,1,1,0,1,4
S0500,1,1,1,1,1,0,0,5
S0501,0,1,1,1,1,0,0,4
S0502,1,0,1,0,0,1,0,3
S0503,1,1,1,1,0,1,0,5
S0504,0,1,1,1,1,0,0,4
S0505,1,0,1,0,1,0,1,4
S0506,1,0,1,0,1,0,1,4
S0507,1,1,0,0,1,0,0,3
S0508,1,1,1,1,0,0,0,4
S0509,1,1,1,0,1,0,0,4
S0510,0,1,1,0,0,0,1,3
S0511,1,0,1,1,1,0,0,4
S0512,1,0,0,0,1,0,0,2
S0513,0,0,1,0,1,0,1,3
S0514,1,1,1,1,1,1,0,6
S0515,1,1,1,0,1,0,0,4
S0516,1,1,1,0,0,1,0,4
S0517,0,0,1,1,1,0,0,3
S0518,0,1,1,0,0,0,0,2
S0519,0,1,1,1,0,0,0,3
S0520,0,0,0,0,1,1,0,2
S0521,0,1,1,1,1,0,0,4
S0522,1,1,0,0,0,0,0,2
S0523,1,0,1,0,1,1,1,5
S0524,1,1,1,1,1,1,0,6
S0525,0,1,1,0,0,0,0,2
S0526,1,1,1,1,0,0,0,4
S0527,0,0,1,1,1,0,0,3
S0528,1,0,1,0,1,0,0,3
S0529,0,1,0,0,0,1,0,2
S0530,0,1,1,0,1,0,0,3
S0531,1,1,1,1,0,1,0,5
S0532,1,1,0,0,0,1,1,4
S0533,1,1,1,0,1,0,0,4
S0534,1,1,0,1,1,1,0,5
S0535,1,1,1,1,0,0,0,4
S0536,0,1,1,1,1,0,0,4
S0537,1,1,0,1,1,1,0,5
S0538,1,1,0,1,1,0,0,4
S0539,0,1,0,0,1,0,0,2
S0540,1,0,1,0,1,1,0,4
S0541,0,1,1,0,1,0,0,3
S0542,0,0,1,0,0,0,0,1
S0543,1,1,1,1,0,0,1,5
S0544,0,1,1,0,0,0,0,2
S0545,0,0,0,0,0,0,0,0
S0546,1,0,0,0,0,0,0,1
S0547,1,1,1,0,0,0,0,3
S0548,1,1,1,0,1,1,0,5
S0549,1,0,1,0,0,0,1,3
S0550,1,1,0,1,1,0,0,4
S0551,1,1,1,0,0,0,0,3
S0552,0,1,1,1,0,1,0,4
S0553,0,1,1,1,1,0,0,4
S0554,1,0,1,1,1,0,1,5
S0555,1,1,1,1,1,1,1,7
S0556,1,0,1,0,1,1,0,4
S0557,1,1,1,1,0,1,0,5
S0558,1,0,1,0,1,0,0,3
S0559,0,1,1,1,1,1,0,5
S0560,1,1,1,1,1,0,0,5
S0561,0,1,1,1,0,0,0,3
S0562,1,0,1,0,0,0,0,2
S0563,1,0,1,0,1,0,0,3
S0564,1,1,0,1,1,1,0,5
S0565,1,0,1,0,1,0,0,3
S0566,1,0,1,0,0,0,0,2
S0567,0,1,0,1,1,0,0,3
S0568,0,0,1,0,0,1,0,2
S0569,1,1,1,1,1,1,0,6
S0570,1,1,1,1,0,1,0,5
S0571,1,1,0,1,1,0,1,5
S0572,1,1,1,0,1,0,0,4
S0573,1,1,1,0,1,0,0,4
S0574,1,1,1,1,1,0,1,6
S0575,1,1,1,1,1,0,0,5
S0576,1,1,1,1,1,1,0,6
S0577,1,1,1,0,0,1,0,4
S0578,1,0,0,0,1,0,1,3
S0579,0,0,1,0,0,0,0,1
S0580,1,1,1,1,0,0,1,5
S0581,1,1,0,1,1,0,0,4
S0582,0,0,1,1,1,0,0,3
S0583,0,0,1,0,0,0,0,1
S0584,1,1,0,0,1,1,0,4
S0585,1,0,0,0,0,0,0,1
S0586,1,1,1,1,1,0,0,5
S0587,0,1,0,0,0,0,0,1
S0588,1,0,1,1,1,1,0,5
S0589,1,1,1,1,1,0,0,5
S0590,1,1,1,1,1,1,0,6
S0591,0,1,1,0,0,0,0,2
S0592,1,0,0,0,1,0,1,3
S0593,1,1,1,0,1,0,0,4
S0594,0,0,1,0,1,1,0,3
S0595,1,0,1,0,1,0,0,3
S0596,1,1,1,1,1,1,0,6
S0597,1,1,0,0,1,1,0,4
S0598,1,1,1,1,1,0,1,6
S0599,1,1,1,1,0,0,0,4
S0600,1,1,1,0,1,1,0,5
S0601,1,0,1,1,1,0,0,4
S0602,1,1,1,1,0,1,0,5
S0603,1,1,1,1,0,0,0,4
S0604,1,0,1,0,1,0,1,4
S0605,1,1,1,1,0,0,0,4
S0606,1,1,1,1,1,1,0,6
S0607,1,1,1,1,1,1,0,6
S0608,1,1,1,1,1,0,1,6
S0609,0,1,1,1,1,0,1,5
S0610,0,1,1,1,1,0,0,4
S0611,1,1,1,1,0,0,0,4
S0612,1,1,1,1,1,1,0,6
S0613,1,0,1,0,1,0,1,4
S0614,1,1,1,0,1,1,0,5
S0615,1,0,1,1,1,0,0,4
S0616,1,1,1,0,0,1,1,5
S0617,1,0,1,0,1,1,0,4
S0618,1,0,0,0,1,1,0,3
S0619,1,1,1,1,1,0,0,5
S0620,1,1,0,1,1,1,0,5
S0621,1,1,1,0,1,1,1,6
S0622,1,0,1,1,1,0,0,4
S0623,1,1,0,1,1,0,0,4
S0624,0,0,1,0,1,1,0,3
S0625,1,0,1,0,1,1,1,5
S0626,0,1,1,0,1,0,0,3
S0627,0,1,1,1,0,1,0,4
S0628,1,1,1,0,1,1,0,5
S0629,0,1,1,1,1,1,0,5
S0630,1,1,0,0,1,0,1,4
S0631,1,1,1,0,1,1,0,5
S0632,0,1,1,1,1,0,0,4
S0633,1,0,1,0,0,0,0,2
S0634,1,1,1,1,0,0,0,4
S0635,1,0,1,0,0,0,0,2
S0636,1,1,1,0,0,0,0,3
S0637,1,0,1,1,1,1,0,5
S0638,1,1,1,1,0,0,0,4
S0639,1,1,1,1,1,1,0,6
S0640,1,1,0,0,0,0,0,2
S0641,0,1,1,0,1,0,0,3
S0642,1,1,1,0,0,1,1,5
S0643,1,1,1,1,0,0,0,4
S0644,1,1,1,0,0,1,0,4
S0645,1,1,1,1,1,1,1,7
S0646,1,0,1,0,0,0,0,2
S0647,0,1,1,1,1,0,0,4
S0648,0,1,1,1,0,0,0,3
S0649,1,1,0,1,0,0,0,3
S0650,1,1,1,1,1,1,1,7
S0651,1,1,1,1,1,0,0,5
S0652,1,1,1,0,1,1,1,6
S0653,1,1,1,0,1,1,1,6
S0654,1,0,1,1,1,0,0,4
S0655,1,1,0,1,0,0,1,4
S0656,0,0,1,0,1,1,0,3
S0657,1,1,1,1,1,1,0,6
S0658,0,0,1,0,1,0,0,2
S0659,1,1,0,1,1,0,0,4
S0660,1,1,0,1,1,0,0,4
S0661,1,1,1,1,1,1,1,7
S0662,1,1,1,0,1,1,0,5
S0663,1,1,1,0,1,0,1,5
S0664,1,1,1,0,1,0,0,4
S0665,0,1,1,1,0,0,0,3
S0666,1,1,0,0,1,1,0,4
S0667,0,0,1,0,1,1,1,4
S0668,1,1,0,1,1,0,0,4
S0669,0,0,1,0,0,0,0,1
S0670,1,1,1,1,1,0,0,5
S0671,1,0,0,0,1,0,1,3
S0672,1,0,1,0,1,0,1,4
S0673,1,0,1,1,1,0,1,5
S0674,1,1,0,0,0,1,1,4
S0675,1,0,1,0,1,0,0,3
S0676,1,0,1,0,1,1,1,5
S0677,1,1,1,1,1,0,1,6
S0678,1,1,1,1,1,0,1,6
S0679,1,1,1,1,1,1,1,7
S0680,1,1,1,0,1,0,0,4
S0681,1,1,1,0,0,0,0,3
S0682,1,0,1,0,1,0,1,4
S0683,1,1,0,0,1,0,1,4
S0684,0,1,1,1,0,0,0,3
S0685,0,0,1,0,1,0,0,2
S0686,1,0,1,1,1,1,1,6
S0687,1,1,1,0,0,1,0,4
S0688,1,1,1,1,1,1,1,7
S0689,1,1,1,0,1,1,0,5
S0690,1,0,1,0,1,0,0,3
S0691,0,0,1,1,1,0,0,3
S0692,1,1,1,0,1,0,0,4
S0693,1,1,1,0,1,0,0,4
