student_id,technical_skill_count,skill_gap_count,missing_skills_list,missing_skills_count,python_gap,sql_gap,excel_gap,power_bi_gap,dsa_gap,cloud_gap,cybersecurity_gap
S0053,3,4,Python Programming; SQL Database; Power BI / Visuals; Cloud Computing,4,1,1,0,1,0,1,0
S0054,2,5,SQL Database; Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cybersecurity,5,0,1,1,1,1,0,1
S0055,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0056,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0057,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0058,5,2,SQL Database; Cloud Computing,2,0,1,0,0,0,1,0
S0059,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0060,4,3,Python Programming; Advanced Excel; Cybersecurity,3,1,0,1,0,0,0,1
S0061,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0062,3,4,Python Programming; Power BI / Visuals; Data Structures & Algo; Cybersecurity,4,1,0,0,1,1,0,1
S0063,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0064,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0065,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0066,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0067,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0068,5,2,SQL Database; Power BI / Visuals,2,0,1,0,1,0,0,0
S0069,4,3,SQL Database; Power BI / Visuals; Data Structures & Algo,3,0,1,0,1,1,0,0
S0070,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0071,3,4,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cybersecurity,4,0,0,1,1,1,0,1
S0072,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0073,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0074,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0075,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0076,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0077,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0078,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0079,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0080,4,3,Python Programming; SQL Database; Cloud Computing,3,1,1,0,0,0,1,0
S0081,5,2,Advanced Excel; Cybersecurity,2,0,0,1,0,0,0,1
S0082,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0083,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0084,2,5,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,0,1,1,1,1,1
S0085,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0086,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0087,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0088,6,1,Power BI / Visuals,1,0,0,0,1,0,0,0
S0089,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0090,1,6,Python Programming; SQL Database; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,6,1,1,1,1,0,1,1
S0091,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0092,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0093,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0094,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0095,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0096,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0097,4,3,SQL Database; Power BI / Visuals; Cloud Computing,3,0,1,0,1,0,1,0
S0098,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0099,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0100,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0101,3,4,Python Programming; SQL Database; Cloud Computing; Cybersecurity,4,1,1,0,0,0,1,1
S0102,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0103,2,5,SQL Database; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,1,0,1,1,1,1
S0104,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0105,4,3,SQL Database; Cloud Computing; Cybersecurity,3,0,1,0,0,0,1,1
S0106,5,2,Data Structures & Algo; Cybersecurity,2,0,0,0,0,1,0,1
S0107,4,3,Advanced Excel; Power BI / Visuals; Cybersecurity,3,0,0,1,1,0,0,1
S0108,2,5,Python Programming; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,5,1,0,1,1,0,1,1
S0109,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0110,2,5,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,0,1,1,1,1,1
S0111,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0112,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0113,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0114,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0115,3,4,Python Programming; SQL Database; Power BI / Visuals; Cloud Computing,4,1,1,0,1,0,1,0
S0116,2,5,SQL Database; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,1,0,1,1,1,1
S0117,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0118,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0119,4,3,SQL Database; Advanced Excel; Power BI / Visuals,3,0,1,1,1,0,0,0
S0120,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0121,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0122,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0123,5,2,Data Structures & Algo; Cybersecurity,2,0,0,0,0,1,0,1
S0124,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0125,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0126,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0127,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0128,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0129,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0130,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0131,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0132,6,1,Power BI / Visuals,1,0,0,0,1,0,0,0
S0133,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0134,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0135,4,3,Python Programming; Data Structures & Algo; Cybersecurity,3,1,0,0,0,1,0,1
S0136,1,6,Python Programming; Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,6,1,0,1,1,1,1,1
S0137,3,4,Python Programming; SQL Database; Power BI / Visuals; Cybersecurity,4,1,1,0,1,0,0,1
S0138,5,2,SQL Database; Cybersecurity,2,0,1,0,0,0,0,1
S0139,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0140,2,5,SQL Database; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,5,0,1,1,1,0,1,1
S0141,1,6,Python Programming; SQL Database; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,6,1,1,0,1,1,1,1
S0142,3,4,Python Programming; SQL Database; Cloud Computing; Cybersecurity,4,1,1,0,0,0,1,1
S0143,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0144,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0145,5,2,Data Structures & Algo; Cybersecurity,2,0,0,0,0,1,0,1
S0146,4,3,Power BI / Visuals; Data Structures & Algo; Cybersecurity,3,0,0,0,1,1,0,1
S0147,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0148,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0149,5,2,Data Structures & Algo; Cybersecurity,2,0,0,0,0,1,0,1
S0150,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0151,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0152,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0153,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0154,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0155,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0156,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0157,5,2,Data Structures & Algo; Cybersecurity,2,0,0,0,0,1,0,1
S0158,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0159,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0160,2,5,Python Programming; SQL Database; Data Structures & Algo; Cloud Computing; Cybersecurity,5,1,1,0,0,1,1,1
S0161,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0162,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0163,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0164,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0165,5,2,Power BI / Visuals; Data Structures & Algo,2,0,0,0,1,1,0,0
S0166,1,6,Python Programming; SQL Database; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,6,1,1,0,1,1,1,1
S0167,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0168,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0169,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0170,2,5,Python Programming; SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,5,1,1,0,1,0,1,1
S0171,4,3,SQL Database; Advanced Excel; Cybersecurity,3,0,1,1,0,0,0,1
S0172,7,0,None,0,0,0,0,0,0,0,0
S0173,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0174,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0175,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0176,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0177,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0178,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0179,4,3,SQL Database; Power BI / Visuals; Cybersecurity,3,0,1,0,1,0,0,1
S0180,4,3,Python Programming; Data Structures & Algo; Cybersecurity,3,1,0,0,0,1,0,1
S0181,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0182,4,3,Power BI / Visuals; Data Structures & Algo; Cybersecurity,3,0,0,0,1,1,0,1
S0183,5,2,SQL Database; Power BI / Visuals,2,0,1,0,1,0,0,0
S0184,7,0,None,0,0,0,0,0,0,0,0
S0185,6,1,Data Structures & Algo,1,0,0,0,0,1,0,0
S0186,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0187,2,5,Python Programming; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,1,0,0,1,1,1,1
S0188,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0189,7,0,None,0,0,0,0,0,0,0,0
S0190,2,5,Python Programming; SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,5,1,1,0,1,0,1,1
S0191,2,5,Python Programming; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,5,1,0,1,1,0,1,1
S0192,3,4,Python Programming; Power BI / Visuals; Data Structures & Algo; Cybersecurity,4,1,0,0,1,1,0,1
S0193,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0194,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0195,5,2,Advanced Excel; Cybersecurity,2,0,0,1,0,0,0,1
S0196,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0197,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0198,2,5,SQL Database; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,1,0,1,1,1,1
S0199,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0200,5,2,Python Programming; Cloud Computing,2,1,0,0,0,0,1,0
S0201,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0202,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0203,6,1,Power BI / Visuals,1,0,0,0,1,0,0,0
S0204,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0205,5,2,SQL Database; Power BI / Visuals,2,0,1,0,1,0,0,0
S0206,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0207,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0208,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0209,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0210,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0211,3,4,SQL Database; Advanced Excel; Data Structures & Algo; Cybersecurity,4,0,1,1,0,1,0,1
S0212,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0213,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0214,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0215,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0216,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0217,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0218,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0219,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0220,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0221,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0222,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0223,5,2,Advanced Excel; Cybersecurity,2,0,0,1,0,0,0,1
S0224,4,3,Python Programming; Power BI / Visuals; Cloud Computing,3,1,0,0,1,0,1,0
S0225,3,4,SQL Database; Advanced Excel; Data Structures & Algo; Cybersecurity,4,0,1,1,0,1,0,1
S0226,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0227,3,4,SQL Database; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,1,0,0,1,1,1
S0228,1,6,Python Programming; SQL Database; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,6,1,1,0,1,1,1,1
S0229,5,2,Advanced Excel; Cybersecurity,2,0,0,1,0,0,0,1
S0230,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0231,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0232,4,3,SQL Database; Cloud Computing; Cybersecurity,3,0,1,0,0,0,1,1
S0233,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0234,3,4,Python Programming; Advanced Excel; Data Structures & Algo; Cybersecurity,4,1,0,1,0,1,0,1
S0235,4,3,Power BI / Visuals; Data Structures & Algo; Cybersecurity,3,0,0,0,1,1,0,1
S0236,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0237,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0238,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0239,4,3,SQL Database; Power BI / Visuals; Cybersecurity,3,0,1,0,1,0,0,1
S0240,2,5,Python Programming; SQL Database; Data Structures & Algo; Cloud Computing; Cybersecurity,5,1,1,0,0,1,1,1
S0241,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0242,4,3,SQL Database; Power BI / Visuals; Cloud Computing,3,0,1,0,1,0,1,0
S0243,4,3,Advanced Excel; Cloud Computing; Cybersecurity,3,0,0,1,0,0,1,1
S0244,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0245,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0246,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0247,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0248,4,3,Advanced Excel; Cloud Computing; Cybersecurity,3,0,0,1,0,0,1,1
S0249,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0250,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0251,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0252,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0253,4,3,Advanced Excel; Data Structures & Algo; Cloud Computing,3,0,0,1,0,1,1,0
S0254,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0255,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0256,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0257,3,4,Advanced Excel; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,1,0,1,1,1
S0258,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0259,4,3,Advanced Excel; Data Structures & Algo; Cybersecurity,3,0,0,1,0,1,0,1
S0260,4,3,Power BI / Visuals; Data Structures & Algo; Cybersecurity,3,0,0,0,1,1,0,1
S0261,4,3,Python Programming; Cloud Computing; Cybersecurity,3,1,0,0,0,0,1,1
S0262,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0263,6,1,Data Structures & Algo,1,0,0,0,0,1,0,0
S0264,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0265,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0266,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0267,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0268,2,5,Python Programming; SQL Database; Data Structures & Algo; Cloud Computing; Cybersecurity,5,1,1,0,0,1,1,1
S0269,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0270,2,5,Python Programming; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,5,1,0,1,1,0,1,1
S0271,4,3,Advanced Excel; Power BI / Visuals; Cybersecurity,3,0,0,1,1,0,0,1
S0272,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0273,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0274,7,0,None,0,0,0,0,0,0,0,0
S0275,3,4,Python Programming; SQL Database; Power BI / Visuals; Cybersecurity,4,1,1,0,1,0,0,1
S0276,6,1,Python Programming,1,1,0,0,0,0,0,0
S0277,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0278,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0279,4,3,Advanced Excel; Cloud Computing; Cybersecurity,3,0,0,1,0,0,1,1
S0280,4,3,Advanced Excel; Power BI / Visuals; Cybersecurity,3,0,0,1,1,0,0,1
S0281,2,5,Python Programming; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,1,0,0,1,1,1,1
S0282,4,3,Advanced Excel; Power BI / Visuals; Cybersecurity,3,0,0,1,1,0,0,1
S0283,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0284,4,3,Advanced Excel; Cloud Computing; Cybersecurity,3,0,0,1,0,0,1,1
S0285,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0286,3,4,Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,0,1,1,0,1,1
S0287,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0288,5,2,Advanced Excel; Cybersecurity,2,0,0,1,0,0,0,1
S0289,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0290,3,4,Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,0,1,1,0,1,1
S0291,5,2,Advanced Excel; Cybersecurity,2,0,0,1,0,0,0,1
S0292,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
