student_id,field,original_value,cleaned_value,transformation,rule_id,defect_category,status
S0034,company_type,Service ,Service,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0037,company_type,startup,Startup,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0051,python_skill,No,0,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0111,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0176,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0231,python_skill,No,0,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0291,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0351,python_skill,No,0,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0411,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0471,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0531,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0611,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0691,python_skill,No,0,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0761,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0851,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0941,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S1031,python_skill,Yes,1,binary_mapping,VAL-06,Python Skill Binary Flags,RESOLVED
S0120,student_id,Duplicate Physical Row,REMOVED,"drop_duplicates(subset=[student_id], keep=first)",VAL-01/VAL-02,Duplicate Rows,RESOLVED
S0450,student_id,Duplicate Physical Row,REMOVED,"drop_duplicates(subset=[student_id], keep=first)",VAL-01/VAL-02,Duplicate Rows,RESOLVED
S0780,student_id,Duplicate Physical Row,REMOVED,"drop_duplicates(subset=[student_id], keep=first)",VAL-01/VAL-02,Duplicate Rows,RESOLVED
S1100,student_id,Duplicate Physical Row,REMOVED,"drop_duplicates(subset=[student_id], keep=first)",VAL-01/VAL-02,Duplicate Rows,RESOLVED
S1350,student_id,Duplicate Physical Row,REMOVED,"drop_duplicates(subset=[student_id], keep=first)",VAL-01/VAL-02,Duplicate Rows,RESOLVED
S0061,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0131,communication_score,NULL,81.37,branch_cohort_median_imputation(ME),VAL-07,Missing Communication Score,RESOLVED
S0216,communication_score,NULL,81.68,branch_cohort_median_imputation(ECE),VAL-07,Missing Communication Score,RESOLVED
S0286,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0361,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0436,communication_score,NULL,81.37,branch_cohort_median_imputation(ME),VAL-07,Missing Communication Score,RESOLVED
S0521,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0606,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0681,communication_score,NULL,81.15,branch_cohort_median_imputation(CSE),VAL-07,Missing Communication Score,RESOLVED
S0756,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0846,communication_score,NULL,82.34,branch_cohort_median_imputation(IT),VAL-07,Missing Communication Score,RESOLVED
S0931,communication_score,NULL,81.15,branch_cohort_median_imputation(CSE),VAL-07,Missing Communication Score,RESOLVED
S1016,communication_score,NULL,81.15,branch_cohort_median_imputation(CSE),VAL-07,Missing Communication Score,RESOLVED
S1126,communication_score,NULL,81.37,branch_cohort_median_imputation(ME),VAL-07,Missing Communication Score,RESOLVED
S1241,communication_score,NULL,81.68,branch_cohort_median_imputation(ECE),VAL-07,Missing Communication Score,RESOLVED
