student_id,cgpa,coding_score,technical_skill_count,segment_code,segment_name,assignment_rule
S0084,6.68,59.45,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0085,5.8,66.85,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0086,7.27,72.94,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0087,8.44,70.6,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0088,5.82,62.97,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0089,6.28,58.82,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0090,7.06,72.0,1,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0091,6.58,71.55,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0092,7.59,57.15,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0093,6.89,79.9,5,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0094,9.35,98.5,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0095,5.25,62.52,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0096,8.44,69.53,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0097,7.43,64.16,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0098,8.11,76.68,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0099,7.39,76.23,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0100,4.09,60.42,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0101,7.66,72.45,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0102,8.74,73.15,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0103,7.83,65.18,2,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0104,7.77,68.79,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0105,5.15,73.14,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0106,8.97,83.74,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0107,8.43,71.27,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0108,7.2,67.55,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0109,6.59,68.96,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0110,7.11,67.66,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0111,8.27,76.52,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0112,7.1,57.66,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0113,5.24,67.73,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0114,7.1,66.62,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0115,8.59,58.32,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0116,8.11,70.53,2,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0117,6.21,85.77,5,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0118,7.61,71.3,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0119,5.61,47.38,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0120,8.12,71.49,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0121,7.64,76.96,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0122,9.85,98.5,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0123,9.45,83.11,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0124,7.87,88.89,6,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0125,8.9,76.08,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0126,8.62,58.59,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0127,7.67,71.54,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0128,6.57,77.47,5,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0129,7.52,69.96,6,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0130,6.95,78.67,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0131,6.7,65.52,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0132,7.25,79.28,6,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0133,8.39,64.74,6,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0134,7.55,70.35,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0135,7.66,74.17,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0136,5.73,63.62,1,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0137,7.48,80.57,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0138,6.96,74.31,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0139,5.54,50.26,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0140,5.61,88.08,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0141,8.28,63.05,1,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0142,4.49,42.83,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0143,7.39,64.67,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0144,8.28,98.13,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0145,6.52,90.28,5,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0146,6.99,71.89,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0147,5.63,79.46,4,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0148,6.98,69.13,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0149,6.2,70.07,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0150,8.32,83.45,6,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0151,6.93,76.04,4,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0152,6.44,61.57,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0153,7.47,87.73,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0154,9.49,71.04,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0155,6.99,75.81,6,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0156,8.41,78.2,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0157,6.06,50.4,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0158,7.14,59.7,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0159,6.18,68.17,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0160,6.09,76.29,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0161,7.36,75.08,4,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0162,8.29,80.05,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0163,6.35,69.58,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0164,6.47,66.24,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0165,6.01,61.09,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0166,6.93,66.1,1,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0167,7.97,74.39,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0168,9.52,87.29,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0169,6.65,74.16,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0170,6.72,65.47,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0171,6.41,77.35,4,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0172,6.73,68.82,7,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0173,6.18,59.7,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0174,7.63,53.57,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0175,8.65,90.29,6,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0176,9.09,59.44,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0177,7.79,74.38,6,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0178,7.14,56.29,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0179,6.72,77.62,4,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0180,6.97,55.69,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0181,8.04,92.02,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0182,8.26,85.4,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0183,5.49,67.8,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0184,6.08,58.5,7,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0185,9.4,87.4,6,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0186,5.93,72.53,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0187,6.66,70.35,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0188,9.45,90.06,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0189,7.77,86.44,7,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0190,7.32,61.18,2,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0191,7.56,72.03,2,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0192,6.54,68.63,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0193,6.02,61.26,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0194,6.65,65.86,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0195,7.01,79.65,5,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0196,8.04,49.48,6,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0197,5.85,78.09,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0198,9.31,65.75,2,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0199,6.5,71.75,6,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0200,8.48,81.91,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0201,8.41,61.3,6,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0202,9.39,91.2,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0203,9.44,70.88,6,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0204,4.93,67.95,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0205,8.56,83.69,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0206,9.85,67.9,5,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0207,9.05,83.47,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0208,9.05,82.41,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0209,9.49,81.41,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0210,8.61,74.09,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0211,9.8,80.56,3,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0212,8.23,68.53,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0213,5.63,85.8,5,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0214,6.7,37.86,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0215,5.83,65.36,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0216,4.4,50.07,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0217,7.1,68.88,4,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0218,7.67,80.34,4,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0219,5.29,56.29,5,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
S0220,8.02,87.37,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0221,9.63,95.63,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0222,9.41,60.12,4,SEG-Q3,Academic Generalists,CGPA >= 7.50 AND (Coding < 75.0 OR Skills < 4)
S0223,7.83,83.72,5,SEG-Q1,Comprehensive High Performers,CGPA >= 7.50 AND Coding >= 75.0 AND Skills >= 4
S0224,6.84,90.82,4,SEG-Q2,Technical Specialists,CGPA < 7.50 AND Coding >= 75.0 AND Skills >= 4
S0225,5.6,65.37,3,SEG-Q4,High Support Priority,CGPA < 7.50 AND Coding < 75.0 AND Skills < 4
