student_id,branch,cgpa,coding_score,aptitude_score,communication_score,projects,internships,cgpa_band,coding_score_band,aptitude_score_band,communication_score_band,technical_skill_count,skill_gap_count,missing_skills
S0021,CE,6.39,66.04,57.91,83.0,3,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,5,2,Power BI; DSA
S0022,IT,6.57,89.67,45.44,96.0,3,0,2. 6.0 – 6.99,4. 80 – 89,1. < 50,5. 90 – 100,6,1,Python
S0023,CSE,7.18,82.83,73.37,80.95,3,0,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,3,4,Excel; Power BI; Cloud; Cybersecurity
S0024,ME,7.18,75.57,69.17,61.8,1,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,2. 50 – 64,3,4,Power BI; DSA; Cloud; Cybersecurity
S0025,IT,9.31,77.16,78.45,88.1,0,2,5. 9.0 – 10.0,3. 65 – 79,3. 65 – 79,4. 80 – 89,3,4,SQL; Power BI; Cloud; Cybersecurity
S0026,IT,6.8,76.33,70.32,87.4,1,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0027,ME,8.43,73.1,93.53,94.93,1,0,4. 8.0 – 8.99,3. 65 – 79,5. 90 – 100,5. 90 – 100,4,3,DSA; Cloud; Cybersecurity
S0028,IT,7.66,67.44,72.69,86.87,4,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,7,0,None
S0029,CSE,9.56,79.33,73.83,76.51,1,0,5. 9.0 – 10.0,3. 65 – 79,3. 65 – 79,3. 65 – 79,5,2,Cloud; Cybersecurity
S0030,CSE,7.18,76.6,65.06,72.71,3,2,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,6,1,Cloud
S0031,CSE,6.23,71.83,57.23,66.68,2,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,6,1,Cybersecurity
S0032,CSE,7.39,71.14,60.54,78.42,3,1,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,5,2,Cloud; Cybersecurity
S0033,CSE,6.35,39.55,74.28,84.99,0,2,2. 6.0 – 6.99,1. < 50,3. 65 – 79,4. 80 – 89,2,5,Python; SQL; DSA; Cloud; Cybersecurity
S0034,CE,6.46,49.79,67.83,83.33,2,0,2. 6.0 – 6.99,1. < 50,3. 65 – 79,4. 80 – 89,5,2,DSA; Cybersecurity
S0035,IT,7.88,92.88,80.75,78.98,2,1,3. 7.0 – 7.99,5. 90 – 100,4. 80 – 89,3. 65 – 79,4,3,SQL; Power BI; DSA
S0036,EEE,6.65,69.31,74.23,94.46,1,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,3,4,Excel; DSA; Cloud; Cybersecurity
S0037,ECE,7.66,69.28,75.89,92.28,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,4,3,SQL; Cloud; Cybersecurity
S0038,CSE,6.36,71.64,75.92,96.0,3,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,4,3,Power BI; Cloud; Cybersecurity
S0039,ECE,8.02,72.53,97.0,83.84,2,0,4. 8.0 – 8.99,3. 65 – 79,5. 90 – 100,4. 80 – 89,1,6,SQL; Excel; Power BI; DSA; Cloud; Cybersecurity
S0040,IT,7.16,97.11,76.56,72.51,1,2,3. 7.0 – 7.99,5. 90 – 100,3. 65 – 79,3. 65 – 79,5,2,Cloud; Cybersecurity
S0041,CSE,7.03,71.91,67.61,90.29,2,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,Power BI; Cloud
S0042,ECE,6.55,64.47,66.49,82.0,1,1,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0043,CE,6.92,71.43,54.12,69.49,4,2,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,5,2,DSA; Cloud
S0044,CSE,7.41,75.04,68.19,77.91,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,Excel; Power BI; Cloud
S0045,ECE,5.92,54.72,55.62,96.0,3,2,1. < 6.0,2. 50 – 64,2. 50 – 64,5. 90 – 100,6,1,Cybersecurity
S0046,EEE,7.27,65.79,52.54,62.03,0,0,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,2. 50 – 64,4,3,SQL; Excel; Power BI
S0047,CSE,6.22,66.3,71.9,96.0,2,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,Excel; Cloud
S0048,CSE,6.28,54.24,55.96,96.0,1,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,5,2,SQL; Cybersecurity
S0049,CSE,6.91,80.02,91.28,79.7,3,0,2. 6.0 – 6.99,4. 80 – 89,5. 90 – 100,3. 65 – 79,5,2,Power BI; Cybersecurity
S0050,ECE,7.22,75.7,75.28,89.38,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,3,4,Python; Power BI; Cloud; Cybersecurity
S0051,ECE,8.05,55.67,80.76,67.48,1,2,4. 8.0 – 8.99,2. 50 – 64,4. 80 – 89,3. 65 – 79,3,4,Python; DSA; Cloud; Cybersecurity
S0052,ECE,7.94,66.55,86.42,74.67,0,2,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,2,5,Excel; Power BI; DSA; Cloud; Cybersecurity
S0053,CSE,5.17,50.69,59.03,66.2,1,1,1. < 6.0,2. 50 – 64,2. 50 – 64,3. 65 – 79,3,4,Python; SQL; Power BI; Cloud
S0054,ME,6.6,57.89,60.99,96.0,1,0,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,5. 90 – 100,2,5,SQL; Excel; Power BI; DSA; Cybersecurity
S0055,IT,6.53,66.26,63.39,83.8,2,1,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,6,1,Cybersecurity
S0056,EEE,7.28,81.64,66.02,95.54,2,1,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,5. 90 – 100,3,4,Power BI; DSA; Cloud; Cybersecurity
S0057,CSE,8.41,92.66,72.98,70.95,1,1,4. 8.0 – 8.99,5. 90 – 100,3. 65 – 79,3. 65 – 79,5,2,Power BI; Cybersecurity
S0058,EEE,7.53,69.93,75.72,89.81,2,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,SQL; Cloud
S0059,CSE,7.16,54.87,52.09,75.05,2,1,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,3,4,Python; DSA; Cloud; Cybersecurity
S0060,ECE,8.02,72.1,58.32,72.34,2,0,4. 8.0 – 8.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Python; Excel; Cybersecurity
S0061,IT,7.05,84.65,84.87,82.34,3,1,3. 7.0 – 7.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,6,1,Cloud
S0062,ME,6.81,41.75,64.07,46.28,0,0,2. 6.0 – 6.99,1. < 50,2. 50 – 64,1. < 50,3,4,Python; Power BI; DSA; Cybersecurity
S0063,IT,9.85,87.1,74.61,85.3,2,1,5. 9.0 – 10.0,4. 80 – 89,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0064,CE,8.32,85.56,80.54,87.99,0,2,4. 8.0 – 8.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,3,4,Python; DSA; Cloud; Cybersecurity
S0065,CSE,6.58,64.27,73.65,71.84,1,2,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,4,3,Power BI; Cloud; Cybersecurity
S0066,IT,8.5,83.64,56.99,70.13,3,1,4. 8.0 – 8.99,4. 80 – 89,2. 50 – 64,3. 65 – 79,3,4,SQL; Power BI; Cloud; Cybersecurity
S0067,IT,8.02,59.83,91.34,96.0,1,2,4. 8.0 – 8.99,2. 50 – 64,5. 90 – 100,5. 90 – 100,5,2,Power BI; Cybersecurity
S0068,EEE,4.17,56.01,54.89,87.56,1,1,1. < 6.0,2. 50 – 64,2. 50 – 64,4. 80 – 89,5,2,SQL; Power BI
S0069,CSE,8.01,61.63,84.37,96.0,1,1,4. 8.0 – 8.99,2. 50 – 64,4. 80 – 89,5. 90 – 100,4,3,SQL; Power BI; DSA
S0070,IT,6.16,79.88,69.61,93.21,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,6,1,Cloud
S0071,ME,9.41,79.04,97.0,96.0,2,0,5. 9.0 – 10.0,3. 65 – 79,5. 90 – 100,5. 90 – 100,3,4,Excel; Power BI; DSA; Cybersecurity
S0072,ECE,7.67,89.37,54.82,68.43,3,1,3. 7.0 – 7.99,4. 80 – 89,2. 50 – 64,3. 65 – 79,5,2,Power BI; Cloud
S0073,IT,9.01,98.5,91.16,73.88,2,0,5. 9.0 – 10.0,5. 90 – 100,5. 90 – 100,3. 65 – 79,6,1,Cybersecurity
S0074,CSE,8.13,89.4,67.36,78.27,4,0,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,3. 65 – 79,5,2,Cloud; Cybersecurity
S0075,ECE,6.23,70.14,55.84,96.0,3,1,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,5. 90 – 100,3,4,Power BI; DSA; Cloud; Cybersecurity
S0076,CSE,5.93,59.26,61.41,96.0,1,1,1. < 6.0,2. 50 – 64,2. 50 – 64,5. 90 – 100,6,1,Cybersecurity
S0077,CSE,9.09,83.02,97.0,72.38,2,0,5. 9.0 – 10.0,4. 80 – 89,5. 90 – 100,3. 65 – 79,5,2,Power BI; Cybersecurity
S0078,ECE,6.65,57.95,61.41,89.79,0,1,2. 6.0 – 6.99,2. 50 – 64,2. 50 – 64,4. 80 – 89,3,4,SQL; Power BI; Cloud; Cybersecurity
S0079,ME,7.38,57.56,72.79,96.0,1,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,5,2,Power BI; Cloud
S0080,ECE,8.16,75.64,72.4,84.11,2,1,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Python; SQL; Cloud
S0081,IT,7.86,86.73,74.64,85.31,2,0,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,5,2,Excel; Cybersecurity
S0082,CSE,7.96,84.19,64.92,82.33,2,0,3. 7.0 – 7.99,4. 80 – 89,2. 50 – 64,4. 80 – 89,3,4,Power BI; DSA; Cloud; Cybersecurity
S0083,CE,5.86,68.45,64.89,53.56,2,0,1. < 6.0,3. 65 – 79,2. 50 – 64,2. 50 – 64,4,3,Power BI; Cloud; Cybersecurity
S0084,CE,6.68,59.45,71.73,71.23,1,0,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,2,5,Excel; Power BI; DSA; Cloud; Cybersecurity
S0085,IT,5.8,66.85,69.96,89.33,2,0,1. < 6.0,3. 65 – 79,3. 65 – 79,4. 80 – 89,6,1,Cybersecurity
S0086,ECE,7.27,72.94,61.08,74.7,3,1,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Python; Cloud; Cybersecurity
S0087,ME,8.44,70.6,87.33,96.0,1,0,4. 8.0 – 8.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,4,3,Python; Cloud; Cybersecurity
S0088,CSE,5.82,62.97,52.58,86.24,3,0,1. < 6.0,2. 50 – 64,2. 50 – 64,4. 80 – 89,6,1,Power BI
S0089,ECE,6.28,58.82,76.61,80.22,2,1,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,3,4,SQL; Power BI; Cloud; Cybersecurity
S0090,IT,7.06,72.0,79.77,72.43,2,2,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,1,6,Python; SQL; Excel; Power BI; Cloud; Cybersecurity
S0091,EEE,6.58,71.55,75.86,96.0,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,3,4,Power BI; DSA; Cloud; Cybersecurity
S0092,EEE,7.59,57.15,67.29,65.84,2,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,3,4,Python; Power BI; Cloud; Cybersecurity
S0093,CSE,6.89,79.9,73.18,56.55,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,2. 50 – 64,5,2,Power BI; Cloud
S0094,IT,9.35,98.5,74.88,95.61,2,1,5. 9.0 – 10.0,5. 90 – 100,3. 65 – 79,5. 90 – 100,5,2,Cloud; Cybersecurity
S0095,ECE,5.25,62.52,67.59,96.0,2,0,1. < 6.0,2. 50 – 64,3. 65 – 79,5. 90 – 100,3,4,Python; Power BI; Cloud; Cybersecurity
S0096,ECE,8.44,69.53,75.09,96.0,1,2,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,4,3,Power BI; Cloud; Cybersecurity
S0097,CSE,7.43,64.16,63.05,77.97,1,0,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,3. 65 – 79,4,3,SQL; Power BI; Cloud
S0098,IT,8.11,76.68,76.29,89.39,2,0,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Python; Cloud; Cybersecurity
S0099,CSE,7.39,76.23,67.26,73.5,1,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,3,4,SQL; Power BI; Cloud; Cybersecurity
S0100,IT,4.09,60.42,77.56,96.0,3,3,1. < 6.0,2. 50 – 64,3. 65 – 79,5. 90 – 100,5,2,Power BI; Cybersecurity
S0101,EEE,7.66,72.45,70.09,59.61,3,2,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,2. 50 – 64,3,4,Python; SQL; Cloud; Cybersecurity
S0102,CSE,8.74,73.15,58.56,85.92,1,3,4. 8.0 – 8.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,4,3,Power BI; Cloud; Cybersecurity
S0103,CSE,7.83,65.18,78.81,96.0,1,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,2,5,SQL; Power BI; DSA; Cloud; Cybersecurity
S0104,ME,7.77,68.79,70.91,96.0,1,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,3,4,Python; DSA; Cloud; Cybersecurity
S0105,ME,5.15,73.14,60.5,63.73,2,1,1. < 6.0,3. 65 – 79,2. 50 – 64,2. 50 – 64,4,3,SQL; Cloud; Cybersecurity
S0106,IT,8.97,83.74,81.34,88.67,2,2,4. 8.0 – 8.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,5,2,DSA; Cybersecurity
S0107,CSE,8.43,71.27,85.11,91.99,3,2,4. 8.0 – 8.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,4,3,Excel; Power BI; Cybersecurity
S0108,CSE,7.2,67.55,79.26,83.54,1,2,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,2,5,Python; Excel; Power BI; Cloud; Cybersecurity
S0109,IT,6.59,68.96,64.62,91.08,1,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,5. 90 – 100,4,3,DSA; Cloud; Cybersecurity
S0110,IT,7.11,67.66,70.95,85.53,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,2,5,Excel; Power BI; DSA; Cloud; Cybersecurity
S0111,ECE,8.27,76.52,89.79,96.0,2,0,4. 8.0 – 8.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,5,2,Cloud; Cybersecurity
S0112,CE,7.1,57.66,62.88,60.96,0,1,3. 7.0 – 7.99,2. 50 – 64,2. 50 – 64,2. 50 – 64,6,1,Cybersecurity
S0113,IT,5.24,67.73,63.55,67.33,2,2,1. < 6.0,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Power BI; Cloud; Cybersecurity
S0114,CSE,7.1,66.62,72.11,96.0,1,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,Cloud; Cybersecurity
S0115,ECE,8.59,58.32,80.22,93.51,2,0,4. 8.0 – 8.99,2. 50 – 64,4. 80 – 89,5. 90 – 100,3,4,Python; SQL; Power BI; Cloud
S0116,ECE,8.11,70.53,95.08,65.45,3,1,4. 8.0 – 8.99,3. 65 – 79,5. 90 – 100,3. 65 – 79,2,5,SQL; Power BI; DSA; Cloud; Cybersecurity
S0117,IT,6.21,85.77,55.44,73.29,2,0,2. 6.0 – 6.99,4. 80 – 89,2. 50 – 64,3. 65 – 79,5,2,Cloud; Cybersecurity
S0118,EEE,7.61,71.3,67.82,79.99,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,5,2,Cloud; Cybersecurity
S0119,ECE,5.61,47.38,65.07,61.89,2,0,1. < 6.0,1. < 50,3. 65 – 79,2. 50 – 64,4,3,SQL; Excel; Power BI
S0120,ECE,8.12,71.49,97.0,86.27,2,0,4. 8.0 – 8.99,3. 65 – 79,5. 90 – 100,4. 80 – 89,5,2,Cloud; Cybersecurity
S0121,CSE,7.64,76.96,80.04,76.29,3,0,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,3,4,Python; Power BI; Cloud; Cybersecurity
S0122,IT,9.85,98.5,80.54,90.58,6,2,5. 9.0 – 10.0,5. 90 – 100,4. 80 – 89,5. 90 – 100,3,4,Python; Power BI; Cloud; Cybersecurity
S0123,CSE,9.45,83.11,77.74,73.72,2,1,5. 9.0 – 10.0,4. 80 – 89,3. 65 – 79,3. 65 – 79,5,2,DSA; Cybersecurity
S0124,CSE,7.87,88.89,87.36,89.99,3,0,3. 7.0 – 7.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,6,1,Cloud
S0125,IT,8.9,76.08,77.72,73.42,0,1,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,3,4,Power BI; DSA; Cloud; Cybersecurity
S0126,CSE,8.62,58.59,80.12,96.0,4,0,4. 8.0 – 8.99,2. 50 – 64,4. 80 – 89,5. 90 – 100,3,4,Power BI; DSA; Cloud; Cybersecurity
S0127,CSE,7.67,71.54,66.46,81.72,3,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,Power BI; Cybersecurity
S0128,EEE,6.57,77.47,66.71,83.57,4,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,Power BI; Cybersecurity
S0129,EEE,7.52,69.96,74.14,86.99,3,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,6,1,Cloud
S0130,EEE,6.95,78.67,68.92,89.81,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,3,4,Power BI; DSA; Cloud; Cybersecurity
S0131,ME,6.7,65.52,76.65,81.37,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,Cloud; Cybersecurity
S0132,CSE,7.25,79.28,79.15,87.01,1,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,6,1,Power BI
S0133,CE,8.39,64.74,84.32,92.06,3,3,4. 8.0 – 8.99,2. 50 – 64,4. 80 – 89,5. 90 – 100,6,1,Cybersecurity
S0134,CSE,7.55,70.35,66.17,86.07,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,Power BI; Cybersecurity
S0135,ECE,7.66,74.17,61.32,79.31,1,0,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Python; DSA; Cybersecurity
S0136,ECE,5.73,63.62,58.93,86.83,3,0,1. < 6.0,2. 50 – 64,2. 50 – 64,4. 80 – 89,1,6,Python; Excel; Power BI; DSA; Cloud; Cybersecurity
S0137,IT,7.48,80.57,72.69,89.23,3,0,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,3,4,Python; SQL; Power BI; Cybersecurity
S0138,IT,6.96,74.31,56.05,88.9,2,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,5,2,SQL; Cybersecurity
S0139,ECE,5.54,50.26,73.78,68.73,4,2,1. < 6.0,2. 50 – 64,3. 65 – 79,3. 65 – 79,6,1,Cloud
S0140,IT,5.61,88.08,54.19,91.83,2,1,1. < 6.0,4. 80 – 89,2. 50 – 64,5. 90 – 100,2,5,SQL; Excel; Power BI; Cloud; Cybersecurity
S0141,EEE,8.28,63.05,47.75,85.21,0,0,4. 8.0 – 8.99,2. 50 – 64,1. < 50,4. 80 – 89,1,6,Python; SQL; Power BI; DSA; Cloud; Cybersecurity
S0142,ECE,4.49,42.83,45.51,86.25,1,3,1. < 6.0,1. < 50,1. < 50,4. 80 – 89,3,4,Python; SQL; Cloud; Cybersecurity
S0143,IT,7.39,64.67,76.55,96.0,1,1,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,5. 90 – 100,3,4,Python; Power BI; Cloud; Cybersecurity
S0144,CSE,8.28,98.13,86.57,76.5,4,1,4. 8.0 – 8.99,5. 90 – 100,4. 80 – 89,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
S0145,CSE,6.52,90.28,66.94,86.15,3,0,2. 6.0 – 6.99,5. 90 – 100,3. 65 – 79,4. 80 – 89,5,2,DSA; Cybersecurity
S0146,ECE,6.99,71.89,65.64,95.32,1,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,4,3,Power BI; DSA; Cybersecurity
S0147,CSE,5.63,79.46,57.26,54.54,2,1,1. < 6.0,3. 65 – 79,2. 50 – 64,2. 50 – 64,4,3,DSA; Cloud; Cybersecurity
S0148,CSE,6.98,69.13,55.29,81.55,2,0,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,4. 80 – 89,3,4,Python; Power BI; Cloud; Cybersecurity
S0149,CSE,6.2,70.07,68.04,82.06,2,3,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,5,2,DSA; Cybersecurity
S0150,ECE,8.32,83.45,80.35,87.95,3,1,4. 8.0 – 8.99,4. 80 – 89,4. 80 – 89,4. 80 – 89,6,1,Cybersecurity
S0151,CSE,6.93,76.04,68.1,84.83,5,1,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Power BI; Cloud; Cybersecurity
S0152,CSE,6.44,61.57,66.46,69.64,1,0,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,3. 65 – 79,4,3,DSA; Cloud; Cybersecurity
S0153,ECE,7.47,87.73,74.04,91.94,2,0,3. 7.0 – 7.99,4. 80 – 89,3. 65 – 79,5. 90 – 100,3,4,Power BI; DSA; Cloud; Cybersecurity
S0154,IT,9.49,71.04,76.4,96.0,0,2,5. 9.0 – 10.0,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,Cloud; Cybersecurity
S0155,CSE,6.99,75.81,71.76,70.76,2,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,6,1,Cybersecurity
S0156,CSE,8.41,78.2,52.64,79.4,1,3,4. 8.0 – 8.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Power BI; Cloud; Cybersecurity
S0157,CE,6.06,50.4,73.48,80.66,1,1,2. 6.0 – 6.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,5,2,DSA; Cybersecurity
S0158,ECE,7.14,59.7,71.94,86.94,1,0,3. 7.0 – 7.99,2. 50 – 64,3. 65 – 79,4. 80 – 89,4,3,DSA; Cloud; Cybersecurity
S0159,IT,6.18,68.17,56.05,73.56,1,1,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,4,3,Power BI; Cloud; Cybersecurity
