student_id,component,raw_value,normalized_score,weight,weighted_contribution
S0013,Aptitude Score,86.26,86.26,0.2,17.252
S0013,CGPA,8.26,82.6,0.15,12.39
S0013,Projects,2.0,66.6667,0.15,10.0
S0013,Internships,1.0,50.0,0.15,7.5
S0013,Communication,73.94,73.94,0.1,7.394
S0014,Technical Skills,6.0,85.7143,0.25,21.4286
S0014,Aptitude Score,92.71,92.71,0.2,18.542
S0014,CGPA,6.45,64.5,0.15,9.675
S0014,Projects,0.0,0.0,0.15,0.0
S0014,Internships,1.0,50.0,0.15,7.5
S0014,Communication,53.53,53.53,0.1,5.353
S0015,Technical Skills,3.0,42.8571,0.25,10.7143
S0015,Aptitude Score,83.7,83.7,0.2,16.74
S0015,CGPA,9.33,93.3,0.15,13.995
S0015,Projects,5.0,100.0,0.15,15.0
S0015,Internships,1.0,50.0,0.15,7.5
S0015,Communication,74.73,74.73,0.1,7.473
S0016,Technical Skills,6.0,85.7143,0.25,21.4286
S0016,Aptitude Score,87.89,87.89,0.2,17.578
S0016,CGPA,5.91,59.1,0.15,8.865
S0016,Projects,3.0,100.0,0.15,15.0
S0016,Internships,3.0,100.0,0.15,15.0
S0016,Communication,93.32,93.32,0.1,9.332
S0017,Technical Skills,5.0,71.4286,0.25,17.8571
S0017,Aptitude Score,72.34,72.34,0.2,14.468
S0017,CGPA,7.18,71.8,0.15,10.77
S0017,Projects,2.0,66.6667,0.15,10.0
S0017,Internships,0.0,0.0,0.15,0.0
S0017,Communication,96.0,96.0,0.1,9.6
S0018,Technical Skills,5.0,71.4286,0.25,17.8571
S0018,Aptitude Score,75.93,75.93,0.2,15.186
S0018,CGPA,8.03,80.3,0.15,12.045
S0018,Projects,2.0,66.6667,0.15,10.0
S0018,Internships,1.0,50.0,0.15,7.5
S0018,Communication,88.2,88.2,0.1,8.82
S0019,Technical Skills,4.0,57.1429,0.25,14.2857
S0019,Aptitude Score,67.33,67.33,0.2,13.466
S0019,CGPA,8.29,82.9,0.15,12.435
S0019,Projects,3.0,100.0,0.15,15.0
S0019,Internships,1.0,50.0,0.15,7.5
S0019,Communication,74.59,74.59,0.1,7.459
S0020,Technical Skills,4.0,57.1429,0.25,14.2857
S0020,Aptitude Score,64.86,64.86,0.2,12.972
S0020,CGPA,7.32,73.2,0.15,10.98
S0020,Projects,2.0,66.6667,0.15,10.0
S0020,Internships,2.0,100.0,0.15,15.0
S0020,Communication,96.0,96.0,0.1,9.6
S0021,Technical Skills,5.0,71.4286,0.25,17.8571
S0021,Aptitude Score,57.91,57.91,0.2,11.582
S0021,CGPA,6.39,63.9,0.15,9.585
S0021,Projects,3.0,100.0,0.15,15.0
S0021,Internships,0.0,0.0,0.15,0.0
S0021,Communication,83.0,83.0,0.1,8.3
S0022,Technical Skills,6.0,85.7143,0.25,21.4286
S0022,Aptitude Score,45.44,45.44,0.2,9.088
S0022,CGPA,6.57,65.7,0.15,9.855
S0022,Projects,3.0,100.0,0.15,15.0
S0022,Internships,0.0,0.0,0.15,0.0
S0022,Communication,96.0,96.0,0.1,9.6
S0023,Technical Skills,3.0,42.8571,0.25,10.7143
S0023,Aptitude Score,73.37,73.37,0.2,14.674
S0023,CGPA,7.18,71.8,0.15,10.77
S0023,Projects,3.0,100.0,0.15,15.0
S0023,Internships,0.0,0.0,0.15,0.0
S0023,Communication,80.95,80.95,0.1,8.095
S0024,Technical Skills,3.0,42.8571,0.25,10.7143
S0024,Aptitude Score,69.17,69.17,0.2,13.834
S0024,CGPA,7.18,71.8,0.15,10.77
S0024,Projects,1.0,33.3333,0.15,5.0
S0024,Internships,1.0,50.0,0.15,7.5
S0024,Communication,61.8,61.8,0.1,6.18
S0025,Technical Skills,3.0,42.8571,0.25,10.7143
S0025,Aptitude Score,78.45,78.45,0.2,15.69
S0025,CGPA,9.31,93.1,0.15,13.965
S0025,Projects,0.0,0.0,0.15,0.0
S0025,Internships,2.0,100.0,0.15,15.0
S0025,Communication,88.1,88.1,0.1,8.81
S0026,Technical Skills,5.0,71.4286,0.25,17.8571
S0026,Aptitude Score,70.32,70.32,0.2,14.064
S0026,CGPA,6.8,68.0,0.15,10.2
S0026,Projects,1.0,33.3333,0.15,5.0
S0026,Internships,1.0,50.0,0.15,7.5
S0026,Communication,87.4,87.4,0.1,8.74
S0027,Technical Skills,4.0,57.1429,0.25,14.2857
S0027,Aptitude Score,93.53,93.53,0.2,18.706
S0027,CGPA,8.43,84.3,0.15,12.645
S0027,Projects,1.0,33.3333,0.15,5.0
S0027,Internships,0.0,0.0,0.15,0.0
S0027,Communication,94.93,94.93,0.1,9.493
S0028,Technical Skills,7.0,100.0,0.25,25.0
S0028,Aptitude Score,72.69,72.69,0.2,14.538
S0028,CGPA,7.66,76.6,0.15,11.49
S0028,Projects,4.0,100.0,0.15,15.0
S0028,Internships,0.0,0.0,0.15,0.0
S0028,Communication,86.87,86.87,0.1,8.687
S0029,Technical Skills,5.0,71.4286,0.25,17.8571
S0029,Aptitude Score,73.83,73.83,0.2,14.766
S0029,CGPA,9.56,95.6,0.15,14.34
S0029,Projects,1.0,33.3333,0.15,5.0
S0029,Internships,0.0,0.0,0.15,0.0
S0029,Communication,76.51,76.51,0.1,7.651
S0030,Technical Skills,6.0,85.7143,0.25,21.4286
S0030,Aptitude Score,65.06,65.06,0.2,13.012
S0030,CGPA,7.18,71.8,0.15,10.77
S0030,Projects,3.0,100.0,0.15,15.0
S0030,Internships,2.0,100.0,0.15,15.0
S0030,Communication,72.71,72.71,0.1,7.271
S0031,Technical Skills,6.0,85.7143,0.25,21.4286
S0031,Aptitude Score,57.23,57.23,0.2,11.446
S0031,CGPA,6.23,62.3,0.15,9.345
S0031,Projects,2.0,66.6667,0.15,10.0
S0031,Internships,0.0,0.0,0.15,0.0
S0031,Communication,66.68,66.68,0.1,6.668
S0032,Technical Skills,5.0,71.4286,0.25,17.8571
S0032,Aptitude Score,60.54,60.54,0.2,12.108
S0032,CGPA,7.39,73.9,0.15,11.085
S0032,Projects,3.0,100.0,0.15,15.0
S0032,Internships,1.0,50.0,0.15,7.5
S0032,Communication,78.42,78.42,0.1,7.842
S0033,Technical Skills,2.0,28.5714,0.25,7.1429
S0033,Aptitude Score,74.28,74.28,0.2,14.856
S0033,CGPA,6.35,63.5,0.15,9.525
S0033,Projects,0.0,0.0,0.15,0.0
S0033,Internships,2.0,100.0,0.15,15.0
S0033,Communication,84.99,84.99,0.1,8.499
S0034,Technical Skills,5.0,71.4286,0.25,17.8571
S0034,Aptitude Score,67.83,67.83,0.2,13.566
S0034,CGPA,6.46,64.6,0.15,9.69
S0034,Projects,2.0,66.6667,0.15,10.0
S0034,Internships,0.0,0.0,0.15,0.0
S0034,Communication,83.33,83.33,0.1,8.333
S0035,Technical Skills,4.0,57.1429,0.25,14.2857
S0035,Aptitude Score,80.75,80.75,0.2,16.15
S0035,CGPA,7.88,78.8,0.15,11.82
S0035,Projects,2.0,66.6667,0.15,10.0
S0035,Internships,1.0,50.0,0.15,7.5
S0035,Communication,78.98,78.98,0.1,7.898
S0036,Technical Skills,3.0,42.8571,0.25,10.7143
S0036,Aptitude Score,74.23,74.23,0.2,14.846
S0036,CGPA,6.65,66.5,0.15,9.975
S0036,Projects,1.0,33.3333,0.15,5.0
S0036,Internships,0.0,0.0,0.15,0.0
S0036,Communication,94.46,94.46,0.1,9.446
S0037,Technical Skills,4.0,57.1429,0.25,14.2857
S0037,Aptitude Score,75.89,75.89,0.2,15.178
S0037,CGPA,7.66,76.6,0.15,11.49
S0037,Projects,2.0,66.6667,0.15,10.0
S0037,Internships,0.0,0.0,0.15,0.0
S0037,Communication,92.28,92.28,0.1,9.228
S0038,Technical Skills,4.0,57.1429,0.25,14.2857
S0038,Aptitude Score,75.92,75.92,0.2,15.184
S0038,CGPA,6.36,63.6,0.15,9.54
S0038,Projects,3.0,100.0,0.15,15.0
S0038,Internships,1.0,50.0,0.15,7.5
S0038,Communication,96.0,96.0,0.1,9.6
S0039,Technical Skills,1.0,14.2857,0.25,3.5714
S0039,Aptitude Score,97.0,97.0,0.2,19.4
S0039,CGPA,8.02,80.2,0.15,12.03
S0039,Projects,2.0,66.6667,0.15,10.0
S0039,Internships,0.0,0.0,0.15,0.0
S0039,Communication,83.84,83.84,0.1,8.384
S0040,Technical Skills,5.0,71.4286,0.25,17.8571
S0040,Aptitude Score,76.56,76.56,0.2,15.312
S0040,CGPA,7.16,71.6,0.15,10.74
S0040,Projects,1.0,33.3333,0.15,5.0
S0040,Internships,2.0,100.0,0.15,15.0
S0040,Communication,72.51,72.51,0.1,7.251
S0041,Technical Skills,5.0,71.4286,0.25,17.8571
S0041,Aptitude Score,67.61,67.61,0.2,13.522
S0041,CGPA,7.03,70.3,0.15,10.545
S0041,Projects,2.0,66.6667,0.15,10.0
S0041,Internships,1.0,50.0,0.15,7.5
S0041,Communication,90.29,90.29,0.1,9.029
S0042,Technical Skills,5.0,71.4286,0.25,17.8571
S0042,Aptitude Score,66.49,66.49,0.2,13.298
S0042,CGPA,6.55,65.5,0.15,9.825
S0042,Projects,1.0,33.3333,0.15,5.0
S0042,Internships,1.0,50.0,0.15,7.5
S0042,Communication,82.0,82.0,0.1,8.2
S0043,Technical Skills,5.0,71.4286,0.25,17.8571
S0043,Aptitude Score,54.12,54.12,0.2,10.824
S0043,CGPA,6.92,69.2,0.15,10.38
S0043,Projects,4.0,100.0,0.15,15.0
S0043,Internships,2.0,100.0,0.15,15.0
S0043,Communication,69.49,69.49,0.1,6.949
S0044,Technical Skills,4.0,57.1429,0.25,14.2857
S0044,Aptitude Score,68.19,68.19,0.2,13.638
S0044,CGPA,7.41,74.1,0.15,11.115
S0044,Projects,2.0,66.6667,0.15,10.0
S0044,Internships,0.0,0.0,0.15,0.0
S0044,Communication,77.91,77.91,0.1,7.791
S0045,Technical Skills,6.0,85.7143,0.25,21.4286
S0045,Aptitude Score,55.62,55.62,0.2,11.124
S0045,CGPA,5.92,59.2,0.15,8.88
S0045,Projects,3.0,100.0,0.15,15.0
S0045,Internships,2.0,100.0,0.15,15.0
S0045,Communication,96.0,96.0,0.1,9.6
S0046,Technical Skills,4.0,57.1429,0.25,14.2857
S0046,Aptitude Score,52.54,52.54,0.2,10.508
S0046,CGPA,7.27,72.7,0.15,10.905
S0046,Projects,0.0,0.0,0.15,0.0
S0046,Internships,0.0,0.0,0.15,0.0
S0046,Communication,62.03,62.03,0.1,6.203
S0047,Technical Skills,5.0,71.4286,0.25,17.8571
S0047,Aptitude Score,71.9,71.9,0.2,14.38
S0047,CGPA,6.22,62.2,0.15,9.33
S0047,Projects,2.0,66.6667,0.15,10.0
S0047,Internships,1.0,50.0,0.15,7.5
S0047,Communication,96.0,96.0,0.1,9.6
S0048,Technical Skills,5.0,71.4286,0.25,17.8571
S0048,Aptitude Score,55.96,55.96,0.2,11.192
S0048,CGPA,6.28,62.8,0.15,9.42
S0048,Projects,1.0,33.3333,0.15,5.0
S0048,Internships,1.0,50.0,0.15,7.5
S0048,Communication,96.0,96.0,0.1,9.6
S0049,Technical Skills,5.0,71.4286,0.25,17.8571
S0049,Aptitude Score,91.28,91.28,0.2,18.256
S0049,CGPA,6.91,69.1,0.15,10.365
S0049,Projects,3.0,100.0,0.15,15.0
S0049,Internships,0.0,0.0,0.15,0.0
S0049,Communication,79.7,79.7,0.1,7.97
S0050,Technical Skills,3.0,42.8571,0.25,10.7143
S0050,Aptitude Score,75.28,75.28,0.2,15.056
S0050,CGPA,7.22,72.2,0.15,10.83
S0050,Projects,2.0,66.6667,0.15,10.0
S0050,Internships,0.0,0.0,0.15,0.0
S0050,Communication,89.38,89.38,0.1,8.938
S0051,Technical Skills,3.0,42.8571,0.25,10.7143
S0051,Aptitude Score,80.76,80.76,0.2,16.152
S0051,CGPA,8.05,80.5,0.15,12.075
S0051,Projects,1.0,33.3333,0.15,5.0
S0051,Internships,2.0,100.0,0.15,15.0
S0051,Communication,67.48,67.48,0.1,6.748
S0052,Technical Skills,2.0,28.5714,0.25,7.1429
S0052,Aptitude Score,86.42,86.42,0.2,17.284
S0052,CGPA,7.94,79.4,0.15,11.91
S0052,Projects,0.0,0.0,0.15,0.0
S0052,Internships,2.0,100.0,0.15,15.0
S0052,Communication,74.67,74.67,0.1,7.467
S0053,Technical Skills,3.0,42.8571,0.25,10.7143
S0053,Aptitude Score,59.03,59.03,0.2,11.806
S0053,CGPA,5.17,51.7,0.15,7.755
S0053,Projects,1.0,33.3333,0.15,5.0
S0053,Internships,1.0,50.0,0.15,7.5
S0053,Communication,66.2,66.2,0.1,6.62
S0054,Technical Skills,2.0,28.5714,0.25,7.1429
S0054,Aptitude Score,60.99,60.99,0.2,12.198
S0054,CGPA,6.6,66.0,0.15,9.9
S0054,Projects,1.0,33.3333,0.15,5.0
S0054,Internships,0.0,0.0,0.15,0.0
S0054,Communication,96.0,96.0,0.1,9.6
S0055,Technical Skills,6.0,85.7143,0.25,21.4286
S0055,Aptitude Score,63.39,63.39,0.2,12.678
S0055,CGPA,6.53,65.3,0.15,9.795
S0055,Projects,2.0,66.6667,0.15,10.0
S0055,Internships,1.0,50.0,0.15,7.5
S0055,Communication,83.8,83.8,0.1,8.38
S0056,Technical Skills,3.0,42.8571,0.25,10.7143
S0056,Aptitude Score,66.02,66.02,0.2,13.204
S0056,CGPA,7.28,72.8,0.15,10.92
S0056,Projects,2.0,66.6667,0.15,10.0
S0056,Internships,1.0,50.0,0.15,7.5
S0056,Communication,95.54,95.54,0.1,9.554
S0057,Technical Skills,5.0,71.4286,0.25,17.8571
S0057,Aptitude Score,72.98,72.98,0.2,14.596
S0057,CGPA,8.41,84.1,0.15,12.615
S0057,Projects,1.0,33.3333,0.15,5.0
S0057,Internships,1.0,50.0,0.15,7.5
S0057,Communication,70.95,70.95,0.1,7.095
S0058,Technical Skills,5.0,71.4286,0.25,17.8571
S0058,Aptitude Score,75.72,75.72,0.2,15.144
S0058,CGPA,7.53,75.3,0.15,11.295
S0058,Projects,2.0,66.6667,0.15,10.0
S0058,Internships,1.0,50.0,0.15,7.5
S0058,Communication,89.81,89.81,0.1,8.981
S0059,Technical Skills,3.0,42.8571,0.25,10.7143
S0059,Aptitude Score,52.09,52.09,0.2,10.418
S0059,CGPA,7.16,71.6,0.15,10.74
S0059,Projects,2.0,66.6667,0.15,10.0
S0059,Internships,1.0,50.0,0.15,7.5
S0059,Communication,75.05,75.05,0.1,7.505
S0060,Technical Skills,4.0,57.1429,0.25,14.2857
S0060,Aptitude Score,58.32,58.32,0.2,11.664
S0060,CGPA,8.02,80.2,0.15,12.03
S0060,Projects,2.0,66.6667,0.15,10.0
S0060,Internships,0.0,0.0,0.15,0.0
S0060,Communication,72.34,72.34,0.1,7.234
S0061,Technical Skills,6.0,85.7143,0.25,21.4286
S0061,Aptitude Score,84.87,84.87,0.2,16.974
S0061,CGPA,7.05,70.5,0.15,10.575
S0061,Projects,3.0,100.0,0.15,15.0
S0061,Internships,1.0,50.0,0.15,7.5
S0061,Communication,82.34,82.34,0.1,8.234
S0062,Technical Skills,3.0,42.8571,0.25,10.7143
S0062,Aptitude Score,64.07,64.07,0.2,12.814
S0062,CGPA,6.81,68.1,0.15,10.215
S0062,Projects,0.0,0.0,0.15,0.0
S0062,Internships,0.0,0.0,0.15,0.0
S0062,Communication,46.28,46.28,0.1,4.628
S0063,Technical Skills,5.0,71.4286,0.25,17.8571
S0063,Aptitude Score,74.61,74.61,0.2,14.922
S0063,CGPA,9.85,98.5,0.15,14.775
S0063,Projects,2.0,66.6667,0.15,10.0
S0063,Internships,1.0,50.0,0.15,7.5
S0063,Communication,85.3,85.3,0.1,8.53
S0064,Technical Skills,3.0,42.8571,0.25,10.7143
S0064,Aptitude Score,80.54,80.54,0.2,16.108
S0064,CGPA,8.32,83.2,0.15,12.48
S0064,Projects,0.0,0.0,0.15,0.0
S0064,Internships,2.0,100.0,0.15,15.0
S0064,Communication,87.99,87.99,0.1,8.799
S0065,Technical Skills,4.0,57.1429,0.25,14.2857
S0065,Aptitude Score,73.65,73.65,0.2,14.73
S0065,CGPA,6.58,65.8,0.15,9.87
S0065,Projects,1.0,33.3333,0.15,5.0
S0065,Internships,2.0,100.0,0.15,15.0
S0065,Communication,71.84,71.84,0.1,7.184
S0066,Technical Skills,3.0,42.8571,0.25,10.7143
S0066,Aptitude Score,56.99,56.99,0.2,11.398
S0066,CGPA,8.5,85.0,0.15,12.75
S0066,Projects,3.0,100.0,0.15,15.0
S0066,Internships,1.0,50.0,0.15,7.5
S0066,Communication,70.13,70.13,0.1,7.013
S0067,Technical Skills,5.0,71.4286,0.25,17.8571
S0067,Aptitude Score,91.34,91.34,0.2,18.268
S0067,CGPA,8.02,80.2,0.15,12.03
S0067,Projects,1.0,33.3333,0.15,5.0
S0067,Internships,2.0,100.0,0.15,15.0
S0067,Communication,96.0,96.0,0.1,9.6
S0068,Technical Skills,5.0,71.4286,0.25,17.8571
S0068,Aptitude Score,54.89,54.89,0.2,10.978
S0068,CGPA,4.17,41.7,0.15,6.255
S0068,Projects,1.0,33.3333,0.15,5.0
S0068,Internships,1.0,50.0,0.15,7.5
S0068,Communication,87.56,87.56,0.1,8.756
S0069,Technical Skills,4.0,57.1429,0.25,14.2857
S0069,Aptitude Score,84.37,84.37,0.2,16.874
S0069,CGPA,8.01,80.1,0.15,12.015
S0069,Projects,1.0,33.3333,0.15,5.0
S0069,Internships,1.0,50.0,0.15,7.5
S0069,Communication,96.0,96.0,0.1,9.6
S0070,Technical Skills,6.0,85.7143,0.25,21.4286
S0070,Aptitude Score,69.61,69.61,0.2,13.922
S0070,CGPA,6.16,61.6,0.15,9.24
S0070,Projects,2.0,66.6667,0.15,10.0
S0070,Internships,0.0,0.0,0.15,0.0
S0070,Communication,93.21,93.21,0.1,9.321
S0071,Technical Skills,3.0,42.8571,0.25,10.7143
S0071,Aptitude Score,97.0,97.0,0.2,19.4
S0071,CGPA,9.41,94.1,0.15,14.115
S0071,Projects,2.0,66.6667,0.15,10.0
S0071,Internships,0.0,0.0,0.15,0.0
S0071,Communication,96.0,96.0,0.1,9.6
S0072,Technical Skills,5.0,71.4286,0.25,17.8571
S0072,Aptitude Score,54.82,54.82,0.2,10.964
S0072,CGPA,7.67,76.7,0.15,11.505
S0072,Projects,3.0,100.0,0.15,15.0
S0072,Internships,1.0,50.0,0.15,7.5
S0072,Communication,68.43,68.43,0.1,6.843
S0073,Technical Skills,6.0,85.7143,0.25,21.4286
S0073,Aptitude Score,91.16,91.16,0.2,18.232
S0073,CGPA,9.01,90.1,0.15,13.515
S0073,Projects,2.0,66.6667,0.15,10.0
S0073,Internships,0.0,0.0,0.15,0.0
S0073,Communication,73.88,73.88,0.1,7.388
S0074,Technical Skills,5.0,71.4286,0.25,17.8571
S0074,Aptitude Score,67.36,67.36,0.2,13.472
S0074,CGPA,8.13,81.3,0.15,12.195
S0074,Projects,4.0,100.0,0.15,15.0
S0074,Internships,0.0,0.0,0.15,0.0
S0074,Communication,78.27,78.27,0.1,7.827
S0075,Technical Skills,3.0,42.8571,0.25,10.7143
S0075,Aptitude Score,55.84,55.84,0.2,11.168
S0075,CGPA,6.23,62.3,0.15,9.345
S0075,Projects,3.0,100.0,0.15,15.0
S0075,Internships,1.0,50.0,0.15,7.5
S0075,Communication,96.0,96.0,0.1,9.6
S0076,Technical Skills,6.0,85.7143,0.25,21.4286
S0076,Aptitude Score,61.41,61.41,0.2,12.282
S0076,CGPA,5.93,59.3,0.15,8.895
S0076,Projects,1.0,33.3333,0.15,5.0
S0076,Internships,1.0,50.0,0.15,7.5
S0076,Communication,96.0,96.0,0.1,9.6
S0077,Technical Skills,5.0,71.4286,0.25,17.8571
S0077,Aptitude Score,97.0,97.0,0.2,19.4
S0077,CGPA,9.09,90.9,0.15,13.635
S0077,Projects,2.0,66.6667,0.15,10.0
S0077,Internships,0.0,0.0,0.15,0.0
S0077,Communication,72.38,72.38,0.1,7.238
S0078,Technical Skills,3.0,42.8571,0.25,10.7143
S0078,Aptitude Score,61.41,61.41,0.2,12.282
S0078,CGPA,6.65,66.5,0.15,9.975
S0078,Projects,0.0,0.0,0.15,0.0
S0078,Internships,1.0,50.0,0.15,7.5
S0078,Communication,89.79,89.79,0.1,8.979
S0079,Technical Skills,5.0,71.4286,0.25,17.8571
S0079,Aptitude Score,72.79,72.79,0.2,14.558
S0079,CGPA,7.38,73.8,0.15,11.07
S0079,Projects,1.0,33.3333,0.15,5.0
S0079,Internships,1.0,50.0,0.15,7.5
S0079,Communication,96.0,96.0,0.1,9.6
S0080,Technical Skills,4.0,57.1429,0.25,14.2857
S0080,Aptitude Score,72.4,72.4,0.2,14.48
S0080,CGPA,8.16,81.6,0.15,12.24
S0080,Projects,2.0,66.6667,0.15,10.0
S0080,Internships,1.0,50.0,0.15,7.5
S0080,Communication,84.11,84.11,0.1,8.411
S0081,Technical Skills,5.0,71.4286,0.25,17.8571
S0081,Aptitude Score,74.64,74.64,0.2,14.928
S0081,CGPA,7.86,78.6,0.15,11.79
S0081,Projects,2.0,66.6667,0.15,10.0
S0081,Internships,0.0,0.0,0.15,0.0
S0081,Communication,85.31,85.31,0.1,8.531
S0082,Technical Skills,3.0,42.8571,0.25,10.7143
S0082,Aptitude Score,64.92,64.92,0.2,12.984
S0082,CGPA,7.96,79.6,0.15,11.94
S0082,Projects,2.0,66.6667,0.15,10.0
S0082,Internships,0.0,0.0,0.15,0.0
S0082,Communication,82.33,82.33,0.1,8.233
S0083,Technical Skills,4.0,57.1429,0.25,14.2857
S0083,Aptitude Score,64.89,64.89,0.2,12.978
S0083,CGPA,5.86,58.6,0.15,8.79
S0083,Projects,2.0,66.6667,0.15,10.0
S0083,Internships,0.0,0.0,0.15,0.0
S0083,Communication,53.56,53.56,0.1,5.356
S0084,Technical Skills,2.0,28.5714,0.25,7.1429
S0084,Aptitude Score,71.73,71.73,0.2,14.346
S0084,CGPA,6.68,66.8,0.15,10.02
S0084,Projects,1.0,33.3333,0.15,5.0
S0084,Internships,0.0,0.0,0.15,0.0
S0084,Communication,71.23,71.23,0.1,7.123
S0085,Technical Skills,6.0,85.7143,0.25,21.4286
S0085,Aptitude Score,69.96,69.96,0.2,13.992
S0085,CGPA,5.8,58.0,0.15,8.7
S0085,Projects,2.0,66.6667,0.15,10.0
S0085,Internships,0.0,0.0,0.15,0.0
S0085,Communication,89.33,89.33,0.1,8.933
S0086,Technical Skills,4.0,57.1429,0.25,14.2857
S0086,Aptitude Score,61.08,61.08,0.2,12.216
S0086,CGPA,7.27,72.7,0.15,10.905
S0086,Projects,3.0,100.0,0.15,15.0
S0086,Internships,1.0,50.0,0.15,7.5
S0086,Communication,74.7,74.7,0.1,7.47
S0087,Technical Skills,4.0,57.1429,0.25,14.2857
S0087,Aptitude Score,87.33,87.33,0.2,17.466
S0087,CGPA,8.44,84.4,0.15,12.66
S0087,Projects,1.0,33.3333,0.15,5.0
S0087,Internships,0.0,0.0,0.15,0.0
S0087,Communication,96.0,96.0,0.1,9.6
S0088,Technical Skills,6.0,85.7143,0.25,21.4286
S0088,Aptitude Score,52.58,52.58,0.2,10.516
S0088,CGPA,5.82,58.2,0.15,8.73
S0088,Projects,3.0,100.0,0.15,15.0
S0088,Internships,0.0,0.0,0.15,0.0
S0088,Communication,86.24,86.24,0.1,8.624
S0089,Technical Skills,3.0,42.8571,0.25,10.7143
S0089,Aptitude Score,76.61,76.61,0.2,15.322
S0089,CGPA,6.28,62.8,0.15,9.42
S0089,Projects,2.0,66.6667,0.15,10.0
S0089,Internships,1.0,50.0,0.15,7.5
S0089,Communication,80.22,80.22,0.1,8.022
S0090,Technical Skills,1.0,14.2857,0.25,3.5714
S0090,Aptitude Score,79.77,79.77,0.2,15.954
S0090,CGPA,7.06,70.6,0.15,10.59
S0090,Projects,2.0,66.6667,0.15,10.0
S0090,Internships,2.0,100.0,0.15,15.0
S0090,Communication,72.43,72.43,0.1,7.243
S0091,Technical Skills,3.0,42.8571,0.25,10.7143
