student_id,technical_skill_count,skill_gap_count,technical_skill_component,technical_skill_contribution,aptitude_score,aptitude_component,aptitude_contribution,cgpa,cgpa_component,cgpa_contribution,projects,projects_component,projects_contribution,internships,internships_component,internships_contribution,communication_score,communication_component,communication_contribution,pri_score,readiness_category,missing_skills,preparation_segment
S0023,3,4,42.857142857142854,10.714285714285714,73.37,73.37,14.674000000000001,7.18,71.8,10.77,3,100.0,15.0,0,0.0,0.0,80.95,80.95,8.095,59.25,Needs Improvement,Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0024,3,4,42.857142857142854,10.714285714285714,69.17,69.17,13.834000000000001,7.18,71.8,10.77,1,33.33333333333333,4.999999999999999,1,50.0,7.5,61.8,61.8,6.18,54.0,Needs Improvement,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0025,3,4,42.857142857142854,10.714285714285714,78.45,78.45,15.690000000000001,9.31,93.10000000000001,13.965000000000002,0,0.0,0.0,2,100.0,15.0,88.1,88.1,8.81,64.18,Moderate Readiness,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,Academic Generalists
S0026,5,2,71.42857142857143,17.857142857142858,70.32,70.32,14.064,6.8,68.0,10.2,1,33.33333333333333,4.999999999999999,1,50.0,7.5,87.4,87.4,8.74,63.36,Moderate Readiness,Cloud Computing; Cybersecurity,Technical Specialists
S0027,4,3,57.14285714285714,14.285714285714285,93.53,93.53,18.706,8.43,84.3,12.645,1,33.33333333333333,4.999999999999999,0,0.0,0.0,94.93,94.93,9.493,60.13,Moderate Readiness,Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0028,7,0,100.0,25.0,72.69,72.69,14.538,7.66,76.6,11.489999999999998,4,100.0,15.0,0,0.0,0.0,86.87,86.87,8.687000000000001,74.71,Moderate Readiness,,Academic Generalists
S0029,5,2,71.42857142857143,17.857142857142858,73.83,73.83,14.766,9.56,95.60000000000001,14.340000000000002,1,33.33333333333333,4.999999999999999,0,0.0,0.0,76.51,76.51,7.651000000000001,59.61,Needs Improvement,Cloud Computing; Cybersecurity,Comprehensive High Performers
S0030,6,1,85.71428571428571,21.428571428571427,65.06,65.06,13.012,7.18,71.8,10.77,3,100.0,15.0,2,100.0,15.0,72.71,72.71,7.271,82.48,High Readiness,Cloud Computing,Technical Specialists
S0031,6,1,85.71428571428571,21.428571428571427,57.23,57.23,11.446,6.23,62.3,9.344999999999999,2,66.66666666666666,9.999999999999998,0,0.0,0.0,66.68,66.68,6.668000000000001,58.89,Needs Improvement,Cybersecurity,High Support Priority
S0032,5,2,71.42857142857143,17.857142857142858,60.54,60.54,12.108,7.39,73.9,11.085,3,100.0,15.0,1,50.0,7.5,78.42,78.42,7.8420000000000005,71.39,Moderate Readiness,Cloud Computing; Cybersecurity,High Support Priority
S0033,2,5,28.57142857142857,7.142857142857142,74.28,74.28,14.856000000000002,6.35,63.5,9.525,0,0.0,0.0,2,100.0,15.0,84.99,84.99,8.499,55.02,Needs Improvement,Python Programming; SQL Database; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0034,5,2,71.42857142857143,17.857142857142858,67.83,67.83,13.566,6.46,64.60000000000001,9.690000000000001,2,66.66666666666666,9.999999999999998,0,0.0,0.0,83.33,83.33,8.333,59.45,Needs Improvement,Data Structures & Algo; Cybersecurity,High Support Priority
S0035,4,3,57.14285714285714,14.285714285714285,80.75,80.75,16.150000000000002,7.88,78.8,11.819999999999999,2,66.66666666666666,9.999999999999998,1,50.0,7.5,78.98,78.98,7.898000000000001,67.65,Moderate Readiness,SQL Database; Power BI / Visuals; Data Structures & Algo,Comprehensive High Performers
S0036,3,4,42.857142857142854,10.714285714285714,74.23,74.23,14.846000000000002,6.65,66.5,9.975,1,33.33333333333333,4.999999999999999,0,0.0,0.0,94.46,94.46,9.446,49.98,Needs Improvement,Advanced Excel; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0037,4,3,57.14285714285714,14.285714285714285,75.89,75.89,15.178,7.66,76.6,11.489999999999998,2,66.66666666666666,9.999999999999998,0,0.0,0.0,92.28,92.28,9.228,60.18,Moderate Readiness,SQL Database; Cloud Computing; Cybersecurity,Academic Generalists
S0038,4,3,57.14285714285714,14.285714285714285,75.92,75.92,15.184000000000001,6.36,63.6,9.54,3,100.0,15.0,1,50.0,7.5,96.0,96.0,9.600000000000001,71.11,Moderate Readiness,Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0039,1,6,14.285714285714285,3.571428571428571,97.0,97.0,19.400000000000002,8.02,80.19999999999999,12.029999999999998,2,66.66666666666666,9.999999999999998,0,0.0,0.0,83.84,83.84,8.384,53.39,Needs Improvement,SQL Database; Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0040,5,2,71.42857142857143,17.857142857142858,76.56,76.56,15.312000000000001,7.16,71.6,10.739999999999998,1,33.33333333333333,4.999999999999999,2,100.0,15.0,72.51,72.51,7.251000000000001,71.16,Moderate Readiness,Cloud Computing; Cybersecurity,Technical Specialists
S0041,5,2,71.42857142857143,17.857142857142858,67.61,67.61,13.522,7.03,70.30000000000001,10.545000000000002,2,66.66666666666666,9.999999999999998,1,50.0,7.5,90.29,90.29,9.029000000000002,68.45,Moderate Readiness,Power BI / Visuals; Cloud Computing,High Support Priority
S0042,5,2,71.42857142857143,17.857142857142858,66.49,66.49,13.298,6.55,65.5,9.825,1,33.33333333333333,4.999999999999999,1,50.0,7.5,82.0,82.0,8.200000000000001,61.68,Moderate Readiness,Cloud Computing; Cybersecurity,High Support Priority
S0043,5,2,71.42857142857143,17.857142857142858,54.12,54.12,10.824,6.92,69.19999999999999,10.379999999999997,4,100.0,15.0,2,100.0,15.0,69.49,69.49,6.949,76.01,Moderate Readiness,Data Structures & Algo; Cloud Computing,High Support Priority
S0044,4,3,57.14285714285714,14.285714285714285,68.19,68.19,13.638,7.41,74.1,11.114999999999998,2,66.66666666666666,9.999999999999998,0,0.0,0.0,77.91,77.91,7.791,56.83,Needs Improvement,Advanced Excel; Power BI / Visuals; Cloud Computing,Technical Specialists
S0045,6,1,85.71428571428571,21.428571428571427,55.62,55.62,11.124,5.92,59.199999999999996,8.879999999999999,3,100.0,15.0,2,100.0,15.0,96.0,96.0,9.600000000000001,81.03,High Readiness,Cybersecurity,High Support Priority
S0046,4,3,57.14285714285714,14.285714285714285,52.54,52.54,10.508000000000001,7.27,72.7,10.905,0,0.0,0.0,0,0.0,0.0,62.03,62.03,6.203,41.9,Needs Improvement,SQL Database; Advanced Excel; Power BI / Visuals,High Support Priority
S0047,5,2,71.42857142857143,17.857142857142858,71.9,71.9,14.380000000000003,6.22,62.2,9.33,2,66.66666666666666,9.999999999999998,1,50.0,7.5,96.0,96.0,9.600000000000001,68.67,Moderate Readiness,Advanced Excel; Cloud Computing,High Support Priority
S0048,5,2,71.42857142857143,17.857142857142858,55.96,55.96,11.192,6.28,62.8,9.42,1,33.33333333333333,4.999999999999999,1,50.0,7.5,96.0,96.0,9.600000000000001,60.57,Moderate Readiness,SQL Database; Cybersecurity,High Support Priority
S0049,5,2,71.42857142857143,17.857142857142858,91.28,91.28,18.256,6.91,69.10000000000001,10.365,3,100.0,15.0,0,0.0,0.0,79.7,79.7,7.970000000000001,69.45,Moderate Readiness,Power BI / Visuals; Cybersecurity,Technical Specialists
S0050,3,4,42.857142857142854,10.714285714285714,75.28,75.28,15.056000000000001,7.22,72.2,10.83,2,66.66666666666666,9.999999999999998,0,0.0,0.0,89.38,89.38,8.938,55.54,Needs Improvement,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0051,3,4,42.857142857142854,10.714285714285714,80.76,80.76,16.152,8.05,80.5,12.075,1,33.33333333333333,4.999999999999999,2,100.0,15.0,67.48,67.48,6.748000000000001,65.69,Moderate Readiness,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0052,2,5,28.57142857142857,7.142857142857142,86.42,86.42,17.284000000000002,7.94,79.4,11.91,0,0.0,0.0,2,100.0,15.0,74.67,74.67,7.4670000000000005,58.8,Needs Improvement,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0053,3,4,42.857142857142854,10.714285714285714,59.03,59.03,11.806000000000001,5.17,51.7,7.755,1,33.33333333333333,4.999999999999999,1,50.0,7.5,66.2,66.2,6.620000000000001,49.4,Needs Improvement,Python Programming; SQL Database; Power BI / Visuals; Cloud Computing,High Support Priority
S0054,2,5,28.57142857142857,7.142857142857142,60.99,60.99,12.198,6.6,65.99999999999999,9.899999999999997,1,33.33333333333333,4.999999999999999,0,0.0,0.0,96.0,96.0,9.600000000000001,43.84,Needs Improvement,SQL Database; Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cybersecurity,High Support Priority
S0055,6,1,85.71428571428571,21.428571428571427,63.39,63.39,12.678,6.53,65.3,9.795,2,66.66666666666666,9.999999999999998,1,50.0,7.5,83.8,83.8,8.38,69.78,Moderate Readiness,Cybersecurity,High Support Priority
S0056,3,4,42.857142857142854,10.714285714285714,66.02,66.02,13.204,7.28,72.8,10.92,2,66.66666666666666,9.999999999999998,1,50.0,7.5,95.54,95.54,9.554,61.89,Moderate Readiness,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0057,5,2,71.42857142857143,17.857142857142858,72.98,72.98,14.596000000000002,8.41,84.1,12.614999999999998,1,33.33333333333333,4.999999999999999,1,50.0,7.5,70.95,70.95,7.095000000000001,64.66,Moderate Readiness,Power BI / Visuals; Cybersecurity,Comprehensive High Performers
S0058,5,2,71.42857142857143,17.857142857142858,75.72,75.72,15.144,7.53,75.3,11.295,2,66.66666666666666,9.999999999999998,1,50.0,7.5,89.81,89.81,8.981,70.78,Moderate Readiness,SQL Database; Cloud Computing,Academic Generalists
S0059,3,4,42.857142857142854,10.714285714285714,52.09,52.09,10.418000000000001,7.16,71.6,10.739999999999998,2,66.66666666666666,9.999999999999998,1,50.0,7.5,75.05,75.05,7.505,56.88,Needs Improvement,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0060,4,3,57.14285714285714,14.285714285714285,58.32,58.32,11.664000000000001,8.02,80.19999999999999,12.029999999999998,2,66.66666666666666,9.999999999999998,0,0.0,0.0,72.34,72.34,7.234000000000001,55.21,Needs Improvement,Python Programming; Advanced Excel; Cybersecurity,Academic Generalists
S0061,6,1,85.71428571428571,21.428571428571427,84.87,84.87,16.974,7.05,70.5,10.575,3,100.0,15.0,1,50.0,7.5,82.34,82.34,8.234,79.71,Moderate Readiness,Cloud Computing,Technical Specialists
S0062,3,4,42.857142857142854,10.714285714285714,64.07,64.07,12.814,6.81,68.1,10.214999999999998,0,0.0,0.0,0,0.0,0.0,46.28,46.28,4.628,38.37,High Improvement Priority,Python Programming; Power BI / Visuals; Data Structures & Algo; Cybersecurity,High Support Priority
S0063,5,2,71.42857142857143,17.857142857142858,74.61,74.61,14.922,9.85,98.5,14.774999999999999,2,66.66666666666666,9.999999999999998,1,50.0,7.5,85.3,85.3,8.53,73.58,Moderate Readiness,Cloud Computing; Cybersecurity,Comprehensive High Performers
S0064,3,4,42.857142857142854,10.714285714285714,80.54,80.54,16.108,8.32,83.2,12.48,0,0.0,0.0,2,100.0,15.0,87.99,87.99,8.799,63.1,Moderate Readiness,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0065,4,3,57.14285714285714,14.285714285714285,73.65,73.65,14.730000000000002,6.58,65.8,9.87,1,33.33333333333333,4.999999999999999,2,100.0,15.0,71.84,71.84,7.184000000000001,66.07,Moderate Readiness,Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0066,3,4,42.857142857142854,10.714285714285714,56.99,56.99,11.398000000000001,8.5,85.0,12.75,3,100.0,15.0,1,50.0,7.5,70.13,70.13,7.013,64.38,Moderate Readiness,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,Academic Generalists
S0067,5,2,71.42857142857143,17.857142857142858,91.34,91.34,18.268,8.02,80.19999999999999,12.029999999999998,1,33.33333333333333,4.999999999999999,2,100.0,15.0,96.0,96.0,9.600000000000001,77.76,Moderate Readiness,Power BI / Visuals; Cybersecurity,Academic Generalists
S0068,5,2,71.42857142857143,17.857142857142858,54.89,54.89,10.978000000000002,4.17,41.699999999999996,6.254999999999999,1,33.33333333333333,4.999999999999999,1,50.0,7.5,87.56,87.56,8.756,56.35,Needs Improvement,SQL Database; Power BI / Visuals,High Support Priority
S0069,4,3,57.14285714285714,14.285714285714285,84.37,84.37,16.874000000000002,8.01,80.1,12.014999999999999,1,33.33333333333333,4.999999999999999,1,50.0,7.5,96.0,96.0,9.600000000000001,65.27,Moderate Readiness,SQL Database; Power BI / Visuals; Data Structures & Algo,Academic Generalists
S0070,6,1,85.71428571428571,21.428571428571427,69.61,69.61,13.922,6.16,61.6,9.24,2,66.66666666666666,9.999999999999998,0,0.0,0.0,93.21,93.21,9.321,63.91,Moderate Readiness,Cloud Computing,Technical Specialists
S0071,3,4,42.857142857142854,10.714285714285714,97.0,97.0,19.400000000000002,9.41,94.10000000000001,14.115,2,66.66666666666666,9.999999999999998,0,0.0,0.0,96.0,96.0,9.600000000000001,63.83,Moderate Readiness,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cybersecurity,Academic Generalists
S0072,5,2,71.42857142857143,17.857142857142858,54.82,54.82,10.964,7.67,76.7,11.505,3,100.0,15.0,1,50.0,7.5,68.43,68.43,6.843000000000001,69.67,Moderate Readiness,Power BI / Visuals; Cloud Computing,Comprehensive High Performers
S0073,6,1,85.71428571428571,21.428571428571427,91.16,91.16,18.232,9.01,90.10000000000001,13.515,2,66.66666666666666,9.999999999999998,0,0.0,0.0,73.88,73.88,7.388,70.56,Moderate Readiness,Cybersecurity,Comprehensive High Performers
S0074,5,2,71.42857142857143,17.857142857142858,67.36,67.36,13.472000000000001,8.13,81.30000000000001,12.195000000000002,4,100.0,15.0,0,0.0,0.0,78.27,78.27,7.827,66.35,Moderate Readiness,Cloud Computing; Cybersecurity,Comprehensive High Performers
S0075,3,4,42.857142857142854,10.714285714285714,55.84,55.84,11.168000000000001,6.23,62.3,9.344999999999999,3,100.0,15.0,1,50.0,7.5,96.0,96.0,9.600000000000001,63.33,Moderate Readiness,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0076,6,1,85.71428571428571,21.428571428571427,61.41,61.41,12.282,5.93,59.3,8.895,1,33.33333333333333,4.999999999999999,1,50.0,7.5,96.0,96.0,9.600000000000001,64.71,Moderate Readiness,Cybersecurity,High Support Priority
S0077,5,2,71.42857142857143,17.857142857142858,97.0,97.0,19.400000000000002,9.09,90.9,13.635,2,66.66666666666666,9.999999999999998,0,0.0,0.0,72.38,72.38,7.2379999999999995,68.13,Moderate Readiness,Power BI / Visuals; Cybersecurity,Comprehensive High Performers
S0078,3,4,42.857142857142854,10.714285714285714,61.41,61.41,12.282,6.65,66.5,9.975,0,0.0,0.0,1,50.0,7.5,89.79,89.79,8.979000000000001,49.45,Needs Improvement,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0079,5,2,71.42857142857143,17.857142857142858,72.79,72.79,14.558000000000002,7.38,73.8,11.069999999999999,1,33.33333333333333,4.999999999999999,1,50.0,7.5,96.0,96.0,9.600000000000001,65.59,Moderate Readiness,Power BI / Visuals; Cloud Computing,High Support Priority
S0080,4,3,57.14285714285714,14.285714285714285,72.4,72.4,14.480000000000002,8.16,81.60000000000001,12.24,2,66.66666666666666,9.999999999999998,1,50.0,7.5,84.11,84.11,8.411,66.92,Moderate Readiness,Python Programming; SQL Database; Cloud Computing,Comprehensive High Performers
S0081,5,2,71.42857142857143,17.857142857142858,74.64,74.64,14.928,7.86,78.60000000000001,11.790000000000001,2,66.66666666666666,9.999999999999998,0,0.0,0.0,85.31,85.31,8.531,63.11,Moderate Readiness,Advanced Excel; Cybersecurity,Comprehensive High Performers
S0082,3,4,42.857142857142854,10.714285714285714,64.92,64.92,12.984000000000002,7.96,79.60000000000001,11.940000000000001,2,66.66666666666666,9.999999999999998,0,0.0,0.0,82.33,82.33,8.233,53.87,Needs Improvement,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0083,4,3,57.14285714285714,14.285714285714285,64.89,64.89,12.978000000000002,5.86,58.60000000000001,8.790000000000001,2,66.66666666666666,9.999999999999998,0,0.0,0.0,53.56,53.56,5.356000000000001,51.41,Needs Improvement,Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0084,2,5,28.57142857142857,7.142857142857142,71.73,71.73,14.346000000000002,6.68,66.8,10.02,1,33.33333333333333,4.999999999999999,0,0.0,0.0,71.23,71.23,7.123000000000001,43.63,Needs Improvement,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0085,6,1,85.71428571428571,21.428571428571427,69.96,69.96,13.991999999999999,5.8,57.99999999999999,8.7,2,66.66666666666666,9.999999999999998,0,0.0,0.0,89.33,89.33,8.933,63.05,Moderate Readiness,Cybersecurity,High Support Priority
S0086,4,3,57.14285714285714,14.285714285714285,61.08,61.08,12.216000000000001,7.27,72.7,10.905,3,100.0,15.0,1,50.0,7.5,74.7,74.7,7.470000000000001,67.38,Moderate Readiness,Python Programming; Cloud Computing; Cybersecurity,High Support Priority
S0087,4,3,57.14285714285714,14.285714285714285,87.33,87.33,17.466,8.44,84.39999999999999,12.659999999999998,1,33.33333333333333,4.999999999999999,0,0.0,0.0,96.0,96.0,9.600000000000001,59.01,Needs Improvement,Python Programming; Cloud Computing; Cybersecurity,Academic Generalists
S0088,6,1,85.71428571428571,21.428571428571427,52.58,52.58,10.516,5.82,58.20000000000001,8.73,3,100.0,15.0,0,0.0,0.0,86.24,86.24,8.624,64.3,Moderate Readiness,Power BI / Visuals,High Support Priority
S0089,3,4,42.857142857142854,10.714285714285714,76.61,76.61,15.322000000000001,6.28,62.8,9.42,2,66.66666666666666,9.999999999999998,1,50.0,7.5,80.22,80.22,8.022,60.98,Moderate Readiness,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0090,1,6,14.285714285714285,3.571428571428571,79.77,79.77,15.954,7.06,70.6,10.589999999999998,2,66.66666666666666,9.999999999999998,2,100.0,15.0,72.43,72.43,7.243000000000001,62.36,Moderate Readiness,Python Programming; SQL Database; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0091,3,4,42.857142857142854,10.714285714285714,75.86,75.86,15.172,6.58,65.8,9.87,2,66.66666666666666,9.999999999999998,0,0.0,0.0,96.0,96.0,9.600000000000001,55.36,Needs Improvement,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0092,3,4,42.857142857142854,10.714285714285714,67.29,67.29,13.458000000000002,7.59,75.9,11.385,2,66.66666666666666,9.999999999999998,1,50.0,7.5,65.84,65.84,6.5840000000000005,59.64,Needs Improvement,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,Academic Generalists
S0093,5,2,71.42857142857143,17.857142857142858,73.18,73.18,14.636000000000003,6.89,68.89999999999999,10.334999999999999,2,66.66666666666666,9.999999999999998,0,0.0,0.0,56.55,56.55,5.655,58.48,Needs Improvement,Power BI / Visuals; Cloud Computing,Technical Specialists
S0094,5,2,71.42857142857143,17.857142857142858,74.88,74.88,14.975999999999999,9.35,93.5,14.025,2,66.66666666666666,9.999999999999998,1,50.0,7.5,95.61,95.61,9.561,73.92,Moderate Readiness,Cloud Computing; Cybersecurity,Comprehensive High Performers
S0095,3,4,42.857142857142854,10.714285714285714,67.59,67.59,13.518,5.25,52.5,7.875,2,66.66666666666666,9.999999999999998,0,0.0,0.0,96.0,96.0,9.600000000000001,51.71,Needs Improvement,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0096,4,3,57.14285714285714,14.285714285714285,75.09,75.09,15.018,8.44,84.39999999999999,12.659999999999998,1,33.33333333333333,4.999999999999999,2,100.0,15.0,96.0,96.0,9.600000000000001,71.56,Moderate Readiness,Power BI / Visuals; Cloud Computing; Cybersecurity,Academic Generalists
S0097,4,3,57.14285714285714,14.285714285714285,63.05,63.05,12.61,7.43,74.3,11.145,1,33.33333333333333,4.999999999999999,0,0.0,0.0,77.97,77.97,7.797000000000001,50.84,Needs Improvement,SQL Database; Power BI / Visuals; Cloud Computing,High Support Priority
S0098,4,3,57.14285714285714,14.285714285714285,76.29,76.29,15.258000000000003,8.11,81.1,12.165,2,66.66666666666666,9.999999999999998,0,0.0,0.0,89.39,89.39,8.939,60.65,Moderate Readiness,Python Programming; Cloud Computing; Cybersecurity,Comprehensive High Performers
S0099,3,4,42.857142857142854,10.714285714285714,67.26,67.26,13.452000000000002,7.39,73.9,11.085,1,33.33333333333333,4.999999999999999,0,0.0,0.0,73.5,73.5,7.3500000000000005,47.6,Needs Improvement,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0100,5,2,71.42857142857143,17.857142857142858,77.56,77.56,15.512,4.09,40.9,6.135,3,100.0,15.0,3,100.0,15.0,96.0,96.0,9.600000000000001,79.1,Moderate Readiness,Power BI / Visuals; Cybersecurity,High Support Priority
